'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for TAMWORTH AIRPORT New South Wales for March 2015,,,,,,,,,,
Issued at 22:30 GMT on Wednesday 01 April 2015,,,,,,,,,,
© Copyright Commonwealth of Australia 2015 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
TAMWORTH AIRPORT,01/03/2015,5.7,0.0, ,33.9,18.4,92,36,3.84,17.61
TAMWORTH AIRPORT,02/03/2015,6.9,16.2, ,31.6,18.2,87,36,5.35,24.89
TAMWORTH AIRPORT,03/03/2015,5.9,0.0, ,34.4,14.9,87,27,2.11,25.47
TAMWORTH AIRPORT,04/03/2015,7.4,0.0, ,36.5,20.6,79,25,4.40,20.86
TAMWORTH AIRPORT,05/03/2015,7.3,0.0, ,31.6,20.2,70,12,3.91,24.90
TAMWORTH AIRPORT,06/03/2015,6.2,0.0, ,29.1,12.4,85,12,3.25,25.51
TAMWORTH AIRPORT,07/03/2015,6.4,0.0, ,33.4,8.6,72,8,2.50,25.25
TAMWORTH AIRPORT,08/03/2015,5.1,0.0, ,31.7,12.9,79,20,2.63,16.06
TAMWORTH AIRPORT,09/03/2015,6.2,0.0, ,34.7,13.1,75,12,2.26,24.89
TAMWORTH AIRPORT,10/03/2015,6.7,0.0, ,34.7,16.3,81,21,4.18,17.06
TAMWORTH AIRPORT,11/03/2015,6.3,7.6, ,33.0,17.9,86,24,3.53,22.11
TAMWORTH AIRPORT,12/03/2015,4.3,22.2, ,29.3,16.2,91,37,2.97,14.55
TAMWORTH AIRPORT,13/03/2015,6.3,4.2, ,29.9,14.7,85,33,5.27,21.90
TAMWORTH AIRPORT,14/03/2015,5.6,0.0, ,27.7,12.4,85,25,3.42,24.53
TAMWORTH AIRPORT,15/03/2015,6.2,0.0, ,31.1,10.1,89,23,4.14,20.62
TAMWORTH AIRPORT,16/03/2015,6.1,0.0, ,28.5,11.5,86,21,3.94,24.42
TAMWORTH AIRPORT,17/03/2015,5.2,0.0, ,30.4,13.2,82,30,3.40,17.32
TAMWORTH AIRPORT,18/03/2015,6.3,0.8, ,32.0,17.3,87,33,5.35,18.93
TAMWORTH AIRPORT,19/03/2015,5.7,0.0, ,34.8,15.6,89,16,2.21,23.39
TAMWORTH AIRPORT,20/03/2015,7.2,0.0, ,38.8,13.7,74,13,3.05,22.41
TAMWORTH AIRPORT,21/03/2015,7.2,0.0, ,30.7,20.0,68,32,7.52,15.92
TAMWORTH AIRPORT,22/03/2015,6.8,0.0, ,31.4,17.0,78,21,5.29,18.25
TAMWORTH AIRPORT,23/03/2015,4.6,0.0, ,31.2,15.3,80,25,2.17,17.85
TAMWORTH AIRPORT,24/03/2015,6.2,0.0, ,34.2,14.5,92,24,4.02,18.18
TAMWORTH AIRPORT,25/03/2015,4.5, , ,29.6,16.2,91,24,1.83,21.91
TAMWORTH AIRPORT,26/03/2015,5.1,0.0, ,28.8,9.1,88,13,2.64,21.49
TAMWORTH AIRPORT,27/03/2015,4.4,0.0, ,26.6,8.4,79,13,1.83,22.92
TAMWORTH AIRPORT,28/03/2015,4.8,0.0, ,29.7,5.4,78,11,2.16,20.71
TAMWORTH AIRPORT,29/03/2015,5.1,0.0, ,29.8,9.9,87,16,2.78,20.02
TAMWORTH AIRPORT,30/03/2015,2.4,0.2, ,23.5,15.9,91,40,2.61,4.56
TAMWORTH AIRPORT,31/03/2015,4.9,1.0, ,29.5,11.8,90,24,3.31,17.26
Totals:,,179,52.2, ,,,,,, 
