'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for TAREE AIRPORT New South Wales for May 2013,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 June 2013,,,,,,,,,,
© Copyright Commonwealth of Australia 2013 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
TAREE AIRPORT,01/05/2013,2.7,0.0, ,28.1,9.8,99,45,1.45,16.36
TAREE AIRPORT,02/05/2013,3.4,0.2, ,21.2,16.6,87,41,4.85,14.36
TAREE AIRPORT,03/05/2013,2.7,0.0, ,22.5,12.8,96,44,2.34,16.52
TAREE AIRPORT,04/05/2013,3.4,0.0, ,26.2,6.3,99,28,2.73,14.04
TAREE AIRPORT,05/05/2013,3.2,0.2, ,21.5,14.1,73,46,3.62,14.74
TAREE AIRPORT,06/05/2013,2.3,0.0, ,20.8,10.6,92,56,3.32,11.64
TAREE AIRPORT,07/05/2013,1.9,0.0, ,19.8,11.9,96,60,2.62,10.79
TAREE AIRPORT,08/05/2013,2.2,0.2, ,21.9,9.2,99,55,2.40,13.79
TAREE AIRPORT,09/05/2013,2.4,0.0, ,23.1,11.0,95,47,1.99,15.73
TAREE AIRPORT,10/05/2013,2.5,0.2, ,23.1,9.8,97,51,2.57,15.00
TAREE AIRPORT,11/05/2013,1.7,0.6, ,21.7,11.3,98,66,2.25,9.89
TAREE AIRPORT,12/05/2013,2.3,0.0, ,22.7,13.0,98,56,2.49,13.97
TAREE AIRPORT,13/05/2013,1.9,0.2, ,24.1,9.6,99,52,1.32,12.41
TAREE AIRPORT,14/05/2013,1.7,0.0, ,21.7,13.0,98,63,2.09,8.75
TAREE AIRPORT,15/05/2013,2.3,1.2, ,20.7,6.7,98,39,2.25,14.47
TAREE AIRPORT,16/05/2013,2.4,0.2, ,22.3,9.2,91,36,2.45,10.67
TAREE AIRPORT,17/05/2013,2.9,1.4, ,20.6,8.4,91,33,3.45,15.36
TAREE AIRPORT,18/05/2013,2.7,0.0, ,19.4,4.4,87,35,3.23,15.23
TAREE AIRPORT,19/05/2013,2.5,0.0, ,19.0,5.7,91,36,2.85,15.20
TAREE AIRPORT,20/05/2013,2.5,0.0, ,19.3,3.9,90,33,2.84,14.44
TAREE AIRPORT,21/05/2013,3.1,0.0, ,24.2,4.7,91,29,3.06,14.31
TAREE AIRPORT,22/05/2013,1.1,0.0, ,15.9,9.7,98,59,1.47,3.58
TAREE AIRPORT,23/05/2013,1.1,22.2, ,17.2,10.7,98,78,4.82,2.55
TAREE AIRPORT,24/05/2013,1.7,99.4, ,17.4,13.0,96,69,6.38,6.44
TAREE AIRPORT,25/05/2013,2.1,15.6, ,19.8,12.0,95,59,3.70,12.63
TAREE AIRPORT,26/05/2013,2.1,0.4, ,21.0,9.1,97,44,2.38,14.10
TAREE AIRPORT,27/05/2013,1.9,0.0, ,20.1,8.0,97,56,3.02,10.60
TAREE AIRPORT,28/05/2013,1.1,6.2, ,18.9,11.8,99,76,1.77,7.24
TAREE AIRPORT,29/05/2013,1.8,1.8, ,20.9,8.4,99,55,2.05,13.52
TAREE AIRPORT,30/05/2013,1.7,0.0, ,22.0,7.0,99,59,1.92,13.04
TAREE AIRPORT,31/05/2013,1.9,0.0, ,23.1,8.2,99,52,1.99,13.34
Totals:,,69.2,150, ,,,,,, 
