'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for TAREE AIRPORT New South Wales for September 2016,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 October 2016,,,,,,,,,,
© Copyright Commonwealth of Australia 2016 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
TAREE AIRPORT,01/09/2016,3.3,0.0, ,23.3,8.6,99,35,2.44,17.95
TAREE AIRPORT,02/09/2016,1.3,3.0, ,20.5,13.6,100,75,2.14,4.38
TAREE AIRPORT,03/09/2016,4.2,4.4, ,21.6,14.4,98,32,6.08,16.49
TAREE AIRPORT,04/09/2016,3.3,0.2, ,21.4,5.4,94,33,2.42,18.54
TAREE AIRPORT,05/09/2016,3.3,0.0, ,21.3,7.5,95,39,2.57,19.10
TAREE AIRPORT,06/09/2016,3.4,0.0, ,23.4,5.9,99,40,2.45,19.18
TAREE AIRPORT,07/09/2016,2.9,0.2, ,23.2,6.7,99,51,2.40,16.45
TAREE AIRPORT,08/09/2016,2.7,3.6, ,21.9,13.9,99,57,2.99,13.23
TAREE AIRPORT,09/09/2016,4.2,0.4, ,25.2,11.3,95,42,4.24,19.47
TAREE AIRPORT,10/09/2016,4.2,1.2, ,23.5,16.4,88,29,4.27,14.55
TAREE AIRPORT,11/09/2016,3.2,1.2, ,21.3,6.4,95,42,2.19,19.50
TAREE AIRPORT,12/09/2016,3.0,0.0, ,22.2,7.7,99,56,2.56,18.08
TAREE AIRPORT,13/09/2016,3.3,0.0, ,25.7,11.8,100,45,2.23,16.59
TAREE AIRPORT,14/09/2016,1.6,6.2, ,21.7,15.9,100,72,2.35,6.32
TAREE AIRPORT,15/09/2016,3.4,0.4, ,24.3,16.1,93,41,2.73,14.77
TAREE AIRPORT,16/09/2016,3.5,1.6, ,21.7,12.4,88,39,3.36,14.39
TAREE AIRPORT,17/09/2016,3.6,0.0, ,22.1,7.6,89,37,2.71,18.96
TAREE AIRPORT,18/09/2016,2.2,0.0, ,22.2,12.1,98,52,2.76,6.60
TAREE AIRPORT,19/09/2016,4.8,5.6, ,23.4,14.5,76,33,4.15,21.37
TAREE AIRPORT,20/09/2016,3.2,0.0, ,20.1,6.3,90,45,2.44,19.73
TAREE AIRPORT,21/09/2016,2.4,2.0, ,22.7,12.2,100,62,1.90,12.40
TAREE AIRPORT,22/09/2016,4.2,3.8, ,21.8,9.0,96,37,4.67,20.22
TAREE AIRPORT,23/09/2016,4.4,0.0, ,22.2,15.5,76,48,5.80,16.93
TAREE AIRPORT,24/09/2016,4.0,0.0, ,23.9,12.3,97,44,2.88,21.56
TAREE AIRPORT,25/09/2016,3.3,0.4, ,22.6,12.9,93,47,3.28,14.46
TAREE AIRPORT,26/09/2016,4.1,1.0, ,22.6,10.1,93,43,3.10,22.70
TAREE AIRPORT,27/09/2016,5.2,0.0, ,25.2,7.7,76,23,4.25,17.73
TAREE AIRPORT,28/09/2016,4.2,0.0, ,21.9,6.9,93,30,2.86,23.04
TAREE AIRPORT,29/09/2016,3.5,0.0, ,25.0,10.2,95,48,4.37,11.22
TAREE AIRPORT,30/09/2016,5.3,0.6, ,21.4,11.1,52,28,4.81,20.09
Totals:,,105.2,35.8, ,,,,,, 
