'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for TEMORA AIRPORT New South Wales for February 2010,,,,,,,,,,
Issued at 04:34 GMT on Thursday 22 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2010 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
TEMORA AIRPORT,01/02/2010,10.9,0.0, ,36.0,23.0,67,13,6.79,28.63
TEMORA AIRPORT,02/02/2010,9.4,0.0, ,31.6,20.0,68,21,8.54,22.36
TEMORA AIRPORT,03/02/2010,9.7,0.0, ,33.7,20.4,70,31,8.98,25.33
TEMORA AIRPORT,04/02/2010,7.9,8.0, ,33.6,18.9,91,30,6.29,23.93
TEMORA AIRPORT,05/02/2010,3.1,4.6, ,25.2,21.0,93,75,3.02,14.21
TEMORA AIRPORT,06/02/2010,5.8,5.4, ,30.3,20.5,86,47,5.91,18.51
TEMORA AIRPORT,07/02/2010,7.1,0.0, ,30.4,19.5,72,46,5.97,26.19
TEMORA AIRPORT,08/02/2010,4.3,0.0, ,26.5,22.6,94,60,4.71,17.49
TEMORA AIRPORT,09/02/2010,7.1,3.4, ,33.0,21.4,78,35,3.07,29.66
TEMORA AIRPORT,10/02/2010,7.5,0.0, ,35.6,19.3,89,31,3.89,26.93
TEMORA AIRPORT,11/02/2010,7.2,14.8, ,35.3,21.3,89,31,3.05,28.43
TEMORA AIRPORT,12/02/2010,4.5,0.4, ,29.3,21.2,89,55,3.11,17.82
TEMORA AIRPORT,13/02/2010,2.6,8.4, ,24.2,21.2,95,83,3.70,12.20
TEMORA AIRPORT,14/02/2010,3.8,54.0, ,26.0,18.0,95,61,3.27,17.43
TEMORA AIRPORT,15/02/2010,5.6,7.4, ,27.7,17.8,91,49,3.45,27.16
TEMORA AIRPORT,16/02/2010,5.7,0.0, ,29.1,15.4,93,37,2.12,28.99
TEMORA AIRPORT,17/02/2010,6.8,0.0, ,30.4,17.4,79,29,3.08,30.11
TEMORA AIRPORT,18/02/2010,7.9,0.0, ,28.3,17.0,71,30,6.44,30.09
TEMORA AIRPORT,19/02/2010,6.6,0.0, ,28.3,15.3,81,33,3.84,30.23
TEMORA AIRPORT,20/02/2010,6.8,0.0, ,30.7,17.4,82,36,4.27,27.91
TEMORA AIRPORT,21/02/2010,8.2,0.0, ,34.7,20.0,74,30,4.78,28.42
TEMORA AIRPORT,22/02/2010,6.4,0.0, ,32.7,18.9,91,33,4.03,22.95
TEMORA AIRPORT,23/02/2010,7.0,0.0, ,26.7,15.5,72,19,4.12,30.14
TEMORA AIRPORT,24/02/2010,6.9,0.0, ,28.9,15.5,72,33,4.44,28.89
TEMORA AIRPORT,25/02/2010,7.9,0.0, ,29.7,17.0,70,28,6.03,28.55
TEMORA AIRPORT,26/02/2010,6.8,0.0, ,29.6,15.1,72,33,4.17,28.75
TEMORA AIRPORT,27/02/2010,5.4,0.0, ,31.4,17.1,76,35,3.02,19.94
TEMORA AIRPORT,28/02/2010,5.0,2.4, ,30.0,20.1,88,42,3.32,19.25
Totals:,,183.9,108.8, ,,,,,, 
