'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for TEMORA AIRPORT New South Wales for February 2011,,,,,,,,,,
Issued at 22:35 GMT on Tuesday 01 March 2011,,,,,,,,,,
© Copyright Commonwealth of Australia 2011 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
TEMORA AIRPORT,01/02/2011,11.1,0.0, ,40.8,18.9,72,16,5.35,30.79
TEMORA AIRPORT,02/02/2011,6.4,5.4, ,36.1,23.3,96,38,4.69,17.88
TEMORA AIRPORT,03/02/2011,6.1,106.0, ,32.7,21.9,97,54,3.79,25.83
TEMORA AIRPORT,04/02/2011,6.8,0.2, ,36.0,23.2,88,38,4.16,21.81
TEMORA AIRPORT,05/02/2011,5.9,7.0, ,34.2,22.7,95,42,4.20,19.11
TEMORA AIRPORT,06/02/2011,4.5,12.2, ,19.9,16.0,94,39,5.07,21.21
TEMORA AIRPORT,07/02/2011,6.3,0.2, ,26.5,13.5,74,43,4.42,30.07
TEMORA AIRPORT,08/02/2011,6.9,0.0, ,29.1,15.4,80,38,3.99,31.33
TEMORA AIRPORT,09/02/2011,7.7,0.0, ,29.3,16.8,74,35,5.62,31.01
TEMORA AIRPORT,10/02/2011,6.7,0.0, ,31.6,17.6,80,41,4.65,25.30
TEMORA AIRPORT,11/02/2011,5.3,0.0, ,32.1,21.0,95,44,5.22,14.79
TEMORA AIRPORT,12/02/2011,5.6,16.8, ,30.0,20.9,94,52,3.00,25.56
TEMORA AIRPORT,13/02/2011,6.2,0.0, ,29.4,15.3,92,43,3.44,29.85
TEMORA AIRPORT,14/02/2011,7.2,0.0, ,28.6,15.3,78,41,6.20,30.29
TEMORA AIRPORT,15/02/2011,5.8,0.0, ,27.9,16.2,79,47,5.64,22.39
TEMORA AIRPORT,16/02/2011,2.0,6.0, ,21.3,17.0,96,72,4.35,6.69
TEMORA AIRPORT,17/02/2011,5.2,35.6, ,30.0,16.6,94,50,2.26,25.07
TEMORA AIRPORT,18/02/2011,6.0,0.0, ,32.1,18.0,95,45,3.59,25.03
TEMORA AIRPORT,19/02/2011,4.1,0.0, ,29.5,22.3,89,61,5.01,13.26
TEMORA AIRPORT,20/02/2011,5.6,4.2, ,26.9,17.7,91,50,3.46,28.44
TEMORA AIRPORT,21/02/2011,5.3,0.0, ,21.7,9.8,83,45,4.99,30.33
TEMORA AIRPORT,22/02/2011,6.1,0.0, ,25.7,12.1,84,39,4.84,29.36
TEMORA AIRPORT,23/02/2011,6.3,0.2, ,27.5,12.9,86,34,3.88,29.58
TEMORA AIRPORT,24/02/2011,5.7,0.0, ,29.5,11.3,94,34,2.06,29.40
TEMORA AIRPORT,25/02/2011,5.1,0.0, ,30.8,12.7,96,31,1.76,24.83
TEMORA AIRPORT,26/02/2011,5.8,0.0, ,32.4,12.6,94,28,1.92,28.24
TEMORA AIRPORT,27/02/2011,3.7,1.0, ,26.1,19.7,90,55,2.78,15.45
TEMORA AIRPORT,28/02/2011,4.6,1.4, ,31.5,17.7,88,45,2.58,18.12
Totals:,,164,196.2, ,,,,,, 
