'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for TEMORA AIRPORT New South Wales for September 2011,,,,,,,,,,
Issued at 22:35 GMT on Saturday 01 October 2011,,,,,,,,,,
© Copyright Commonwealth of Australia 2011 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
TEMORA AIRPORT,01/09/2011,2.5,0.0, ,18.1,-1.4,97,38,1.87,18.26
TEMORA AIRPORT,02/09/2011,3.4,0.0, ,19.6,2.3,94,40,4.61,18.49
TEMORA AIRPORT,03/09/2011,3.7,0.0, ,20.6,6.4,77,44,4.66,18.17
TEMORA AIRPORT,04/09/2011,2.9,0.0, ,20.9,4.8,91,47,4.42,9.69
TEMORA AIRPORT,05/09/2011,3.8,0.6, ,21.7,11.4,73,40,5.03,11.58
TEMORA AIRPORT,06/09/2011,2.9,0.2, ,19.8,12.5,92,46,5.49,6.87
TEMORA AIRPORT,07/09/2011,2.2,5.6, ,14.4,-1.1,98,49,1.89,18.65
TEMORA AIRPORT,08/09/2011,2.4,0.0, ,16.2,-2.4,97,39,1.97,17.11
TEMORA AIRPORT,09/09/2011,2.7,0.0, ,13.3,7.2,80,50,5.31,14.85
TEMORA AIRPORT,10/09/2011,2.9,0.4, ,14.9,3.3,91,49,6.76,15.29
TEMORA AIRPORT,11/09/2011,2.1,0.0, ,13.7,3.1,94,62,4.64,13.83
TEMORA AIRPORT,12/09/2011,2.7,1.2, ,16.2,-1.8,97,40,2.33,20.80
TEMORA AIRPORT,13/09/2011,2.5,0.2, ,16.9,-2.7,95,42,1.56,20.07
TEMORA AIRPORT,14/09/2011,4.6,0.0, ,24.4,-3.1,96,23,3.60,20.07
TEMORA AIRPORT,15/09/2011,3.1,0.0, ,19.7,0.3,97,32,1.82,20.98
TEMORA AIRPORT,16/09/2011,5.7,0.0, ,27.7,0.3,95,16,4.22,17.90
TEMORA AIRPORT,17/09/2011,4.8,0.0, ,29.9,2.0,94,11,2.30,19.64
TEMORA AIRPORT,18/09/2011,4.2,0.0, ,25.6,5.8,88,24,2.27,21.86
TEMORA AIRPORT,19/09/2011,6.8,0.0, ,29.9,2.4,96,19,5.24,20.67
TEMORA AIRPORT,20/09/2011,4.4,0.0, ,17.4,10.5,85,28,7.16,18.53
TEMORA AIRPORT,21/09/2011,3.1,0.0, ,19.7,-1.0,95,42,2.10,21.83
TEMORA AIRPORT,22/09/2011,4.3,0.0, ,24.7,-0.1,96,21,2.35,22.77
TEMORA AIRPORT,23/09/2011,4.0,0.0, ,21.7,2.6,90,31,3.10,22.44
TEMORA AIRPORT,24/09/2011,3.5,0.0, ,19.7,-0.6,91,32,2.43,22.23
TEMORA AIRPORT,25/09/2011,4.3,0.0, ,19.2,4.9,82,40,6.70,19.90
TEMORA AIRPORT,26/09/2011,4.6,0.0, ,21.2,5.9,82,31,4.44,22.61
TEMORA AIRPORT,27/09/2011,4.8,0.0, ,23.4,7.5,76,32,4.61,19.59
TEMORA AIRPORT,28/09/2011,2.4,3.2, ,17.3,12.7,90,55,6.20,4.01
TEMORA AIRPORT,29/09/2011,2.5,15.8, ,14.4,10.0,93,64,7.90,13.68
TEMORA AIRPORT,30/09/2011,2.8,3.2, ,15.6,6.7,93,51,3.90,16.84
Totals:,,106.6,30.4, ,,,,,, 
