'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for TEMORA AIRPORT New South Wales for January 2012,,,,,,,,,,
Issued at 22:33 GMT on Wednesday 01 February 2012,,,,,,,,,,
© Copyright Commonwealth of Australia 2012 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
TEMORA AIRPORT,01/01/2012,7.0,0.0, ,33.2,15.1,86,25,1.99,32.49
TEMORA AIRPORT,02/01/2012,7.6,0.0, ,35.1,16.3,80,23,2.44,31.81
TEMORA AIRPORT,03/01/2012,7.8,0.0, ,36.4,17.4,87,24,2.79,30.07
TEMORA AIRPORT,04/01/2012,6.4,0.0, ,32.9,19.2,75,32,3.93,18.82
TEMORA AIRPORT,05/01/2012,8.5,0.0, ,32.8,13.5,83,14,4.03,31.98
TEMORA AIRPORT,06/01/2012,7.4,0.0, ,30.4,8.3,80,14,2.99,33.14
TEMORA AIRPORT,07/01/2012,8.4,0.0, ,33.4,14.0,71,22,4.44,29.51
TEMORA AIRPORT,08/01/2012,4.3,1.6, ,30.4,19.4,93,43,3.13,13.49
TEMORA AIRPORT,09/01/2012,7.0,3.2, ,25.6,13.4,78,28,4.69,32.01
TEMORA AIRPORT,10/01/2012,6.0,0.0, ,26.8,8.7,88,33,3.99,26.20
TEMORA AIRPORT,11/01/2012,6.7,0.0, ,22.8,12.3,66,25,7.09,23.37
TEMORA AIRPORT,12/01/2012,6.5,0.0, ,24.7,6.0,82,24,3.90,32.55
TEMORA AIRPORT,13/01/2012,7.1,0.0, ,29.7,8.6,81,22,3.38,30.96
TEMORA AIRPORT,14/01/2012,8.5,0.0, ,32.3,8.1,88,18,4.81,31.29
TEMORA AIRPORT,15/01/2012,7.5,0.0, ,29.9,16.8,74,33,5.73,26.43
TEMORA AIRPORT,16/01/2012,6.7,0.0, ,30.2,15.6,80,32,5.02,21.48
TEMORA AIRPORT,17/01/2012,8.2,0.0, ,32.5,16.7,66,17,3.65,31.14
TEMORA AIRPORT,18/01/2012,7.8,0.0, ,35.4,15.5,77,22,3.57,26.71
TEMORA AIRPORT,19/01/2012,7.4,0.0, ,37.4,15.6,82,20,3.02,24.23
TEMORA AIRPORT,20/01/2012,7.1,2.2, ,34.6,18.9,86,29,5.04,17.90
TEMORA AIRPORT,21/01/2012,7.4,12.4, ,33.6,16.0,83,31,4.17,26.22
TEMORA AIRPORT,22/01/2012,8.7,7.2, ,30.0,18.8,72,30,7.46,30.29
TEMORA AIRPORT,23/01/2012,8.7,0.0, ,30.4,16.4,73,28,6.81,30.56
TEMORA AIRPORT,24/01/2012,7.1,0.0, ,31.0,15.9,74,25,3.63,27.11
TEMORA AIRPORT,25/01/2012,7.4,0.0, ,31.5,18.9,76,31,5.08,24.56
TEMORA AIRPORT,26/01/2012,5.3,0.0, ,28.8,19.6,76,45,5.33,14.32
TEMORA AIRPORT,27/01/2012,8.2,0.0, ,31.8,19.4,72,37,7.59,24.37
TEMORA AIRPORT,28/01/2012,7.2,0.0, ,32.7,19.4,69,31,4.89,21.03
TEMORA AIRPORT,29/01/2012,5.4,0.0, ,30.4,19.4,94,40,4.90,16.67
TEMORA AIRPORT,30/01/2012,4.9,27.6, ,30.6,20.3,96,56,7.48,14.34
TEMORA AIRPORT,31/01/2012,6.7,8.0, ,26.2,14.9,83,32,4.46,30.96
Totals:,,220.9,62.2, ,,,,,, 
