'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for TEMORA AIRPORT New South Wales for April 2012,,,,,,,,,,
Issued at 22:33 GMT on Sunday 29 April 2012,,,,,,,,,,
© Copyright Commonwealth of Australia 2012 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
TEMORA AIRPORT,01/04/2012,2.2,0.0, ,23.0,10.5,100,50,1.99,8.31
TEMORA AIRPORT,02/04/2012,3.0,1.2, ,26.7,9.3,100,42,1.30,17.36
TEMORA AIRPORT,03/04/2012,3.8,0.0, ,30.2,10.3,100,34,2.14,16.73
TEMORA AIRPORT,04/04/2012,3.4,0.0, ,29.0,11.2,100,34,1.51,17.91
TEMORA AIRPORT,05/04/2012,3.7,0.0, ,30.2,11.6,100,37,1.93,17.82
TEMORA AIRPORT,06/04/2012,4.4,0.0, ,29.4,17.0,100,41,4.12,16.54
TEMORA AIRPORT,07/04/2012,3.9,0.0, ,21.0,9.7,97,29,4.52,18.73
TEMORA AIRPORT,08/04/2012,3.2,0.0, ,21.1,3.3,100,34,2.89,17.10
TEMORA AIRPORT,09/04/2012,3.0,0.0, ,19.9,3.9,100,42,4.23,13.97
TEMORA AIRPORT,10/04/2012,3.1,0.0, ,16.9,1.1,100,35,4.22,17.99
TEMORA AIRPORT,11/04/2012,2.8,0.0, ,19.8,0.0,100,35,2.40,17.70
TEMORA AIRPORT,12/04/2012,2.7,0.0, ,22.2,1.6,100,30,1.61,17.31
TEMORA AIRPORT,13/04/2012,2.5,0.0, ,23.9,2.1,100,32,1.15,16.74
TEMORA AIRPORT,14/04/2012,1.7,0.0, ,21.1,4.8,100,51,1.42,7.20
TEMORA AIRPORT,15/04/2012,2.8,0.0, ,26.5,5.5,100,30,1.45,14.64
TEMORA AIRPORT,16/04/2012,3.3,0.0, ,25.9,4.6,100,28,2.20,16.09
TEMORA AIRPORT,17/04/2012,3.7,0.0, ,23.6,6.8,99,30,3.78,15.72
TEMORA AIRPORT,18/04/2012,2.5,0.0, ,23.4,11.2,100,61,5.30,7.91
TEMORA AIRPORT,19/04/2012,2.5,1.6, ,24.5,15.5,100,55,3.18,9.60
TEMORA AIRPORT,20/04/2012,1.7,0.2, ,24.3,11.1,100,50,1.23,7.03
TEMORA AIRPORT,21/04/2012,2.5,0.0, ,25.8,8.7,100,42,1.84,11.56
TEMORA AIRPORT,22/04/2012,1.7,0.0, ,21.7,9.4,100,62,2.15,7.73
TEMORA AIRPORT,23/04/2012,2.8,0.6, ,24.7,9.9,100,38,2.38,12.85
TEMORA AIRPORT,24/04/2012,2.3,1.2, ,15.7,9.4,100,46,4.61,11.94
TEMORA AIRPORT,25/04/2012,2.1,0.2, ,16.0,4.6,100,60,5.56,12.48
TEMORA AIRPORT,26/04/2012,1.7,0.0, ,16.1,6.9,100,59,2.75,10.11
TEMORA AIRPORT,27/04/2012,2.0,0.0, ,21.4,2.7,100,43,1.34,14.29
TEMORA AIRPORT,28/04/2012, ,0.0, , ,1.9,100,34,1.46,14.32
Totals:,,75,5, ,,,,,, 
