'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for TEMORA AIRPORT New South Wales for April 2013,,,,,,,,,,
Issued at 22:38 GMT on Wednesday 01 May 2013,,,,,,,,,,
© Copyright Commonwealth of Australia 2013 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
TEMORA AIRPORT,01/04/2013,3.3,0.0, ,24.1,6.3,100,33,2.09,17.13
TEMORA AIRPORT,02/04/2013,4.0,0.0, ,24.1,6.1,100,35,3.07,21.75
TEMORA AIRPORT,03/04/2013,3.9,0.0, ,26.0,8.8,100,33,3.04,17.58
TEMORA AIRPORT,04/04/2013,5.0,0.0, ,25.8,11.8,81,33,4.60,20.82
TEMORA AIRPORT,05/04/2013,4.6,0.0, ,26.2,14.0,83,32,3.98,17.87
TEMORA AIRPORT,06/04/2013,4.1,0.0, ,26.2,10.1,90,29,2.81,19.68
TEMORA AIRPORT,07/04/2013,3.5,0.0, ,27.1,7.7,100,29,1.86,18.57
TEMORA AIRPORT,08/04/2013,4.0,0.0, ,27.8,6.9,94,23,2.15,20.22
TEMORA AIRPORT,09/04/2013,4.4,0.0, ,27.0,11.0,89,26,2.95,20.45
TEMORA AIRPORT,10/04/2013,3.5,0.0, ,27.2,7.3,92,28,1.74,19.12
TEMORA AIRPORT,11/04/2013,3.7,0.0, ,28.3,7.5,87,27,1.83,19.40
TEMORA AIRPORT,12/04/2013,4.4,0.0, ,27.8,12.3,85,26,2.93,19.65
TEMORA AIRPORT,13/04/2013,3.6,0.0, ,28.2,6.9,83,26,1.91,18.16
TEMORA AIRPORT,14/04/2013,5.1,0.0, ,32.1,7.8,79,17,2.90,18.16
TEMORA AIRPORT,15/04/2013,3.5,0.0, ,26.6,16.2,69,33,2.28,14.08
TEMORA AIRPORT,16/04/2013,3.1,0.0, ,24.3,6.2,99,34,2.38,16.05
TEMORA AIRPORT,17/04/2013,3.0,0.0, ,23.4,9.5,94,36,2.53,15.16
TEMORA AIRPORT,18/04/2013,3.5,0.0, ,23.5,6.4,90,30,2.90,18.56
TEMORA AIRPORT,19/04/2013,4.3,0.0, ,19.3,6.6,74,28,5.83,18.91
TEMORA AIRPORT,20/04/2013,4.0,0.0, ,22.1,6.3,68,27,3.89,18.17
TEMORA AIRPORT,21/04/2013,3.3,0.0, ,22.0,7.8,95,33,3.44,17.04
TEMORA AIRPORT,22/04/2013,2.2,1.8, ,19.9,10.8,100,53,2.99,11.67
TEMORA AIRPORT,23/04/2013,2.4,0.0, ,20.5,4.1,100,39,1.96,15.18
TEMORA AIRPORT,24/04/2013,2.4,0.0, ,19.3,1.3,100,35,2.26,13.24
TEMORA AIRPORT,25/04/2013,2.5,0.0, ,22.4,0.5,99,36,1.79,15.13
TEMORA AIRPORT,26/04/2013,2.4,0.0, ,22.6,3.1,99,40,1.68,16.70
TEMORA AIRPORT,27/04/2013,2.3,0.0, ,24.8,3.1,100,34,1.15,16.86
TEMORA AIRPORT,28/04/2013,3.8,0.0, ,28.2,2.9,98,17,2.43,16.49
TEMORA AIRPORT,29/04/2013,2.6,0.0, ,25.1,6.4,100,36,2.36,9.65
TEMORA AIRPORT,30/04/2013,2.9,0.2, ,26.0,13.3,100,35,2.50,13.47
Totals:,,105.3,2, ,,,,,, 
