'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for TERREY HILLS New South Wales for December 2011,,,,,,,,,,
Issued at 22:34 GMT on Sunday 01 January 2012,,,,,,,,,,
© Copyright Commonwealth of Australia 2011 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
TERREY HILLS,01/12/2011, , , ,19.0, ,93,53,3.66,24.70
TERREY HILLS,02/12/2011,4.4,0.0, ,18.7,12.1,90,55,3.28,27.21
TERREY HILLS,03/12/2011,5.1,0.2, ,21.1,10.0,84,53,2.76,32.20
TERREY HILLS,04/12/2011,3.7,0.0, ,20.1,13.0,95,55,3.54,19.46
TERREY HILLS,05/12/2011,3.6,6.8, ,17.0,9.5,95,62,3.42,24.01
TERREY HILLS,06/12/2011,3.3,4.4, ,17.1,10.9,97,61,2.10,20.35
TERREY HILLS,07/12/2011,3.5,0.0, ,19.4,10.5,97,61,1.56,21.72
TERREY HILLS,08/12/2011,3.7,18.0, ,21.3,14.6,98,71,1.22,21.34
TERREY HILLS,09/12/2011,4.7,1.4, ,22.8,14.8,99,61,1.84,27.93
TERREY HILLS,10/12/2011,4.0,0.0, ,22.9,16.1,95,67,1.88,22.23
TERREY HILLS,11/12/2011,4.2,0.0, ,26.1,16.4,97,57,2.13,20.52
TERREY HILLS,12/12/2011,2.4,33.2, ,17.3,15.8,98,82,3.30,14.81
TERREY HILLS,13/12/2011,4.3,3.2, ,20.1,14.8,92,57,3.29,24.39
TERREY HILLS,14/12/2011, ,0.2, ,19.2,13.5,87,58,3.20, 
TERREY HILLS,15/12/2011,4.5,0.0, ,20.4,13.7,87,58,1.88,27.32
TERREY HILLS,16/12/2011,3.8,0.0, ,19.8,12.4,91,58,2.10,21.72
TERREY HILLS,17/12/2011,4.5,0.0, ,20.5,13.9,81,55,1.86,26.34
TERREY HILLS,18/12/2011,4.8,0.0, ,23.0,14.1,85,55,2.64,26.35
TERREY HILLS,19/12/2011,2.8,0.0, ,20.6,17.3,98,83,2.50,16.19
TERREY HILLS,20/12/2011,3.9,21.4, ,21.6,16.1,98,73,2.49,23.27
TERREY HILLS,21/12/2011,3.9,0.4, ,22.3,16.0,94,72,1.80,22.35
TERREY HILLS,22/12/2011,3.2,0.0, ,20.1,16.5,97,82,1.11,18.70
TERREY HILLS,23/12/2011,4.6,5.0, ,24.2,16.6,98,74,1.77,26.67
TERREY HILLS,24/12/2011,5.0,35.0, ,24.5,18.0,97,68,1.67,27.88
TERREY HILLS,25/12/2011,5.7,3.6, ,25.6,18.2,96,66,3.12,32.32
TERREY HILLS,26/12/2011,4.4,0.2, ,26.3,18.1,94,64,2.26,21.80
TERREY HILLS,27/12/2011,3.5,1.6, ,21.0,17.4,94,67,3.87,18.29
TERREY HILLS,28/12/2011,4.8,0.0, ,22.8,16.1,84,59,3.19,25.64
TERREY HILLS,29/12/2011,4.5,0.0, ,22.3,15.9,86,50,2.74,22.96
TERREY HILLS,30/12/2011,5.0,0.2, ,23.0,15.0,94,51,2.59,28.14
TERREY HILLS,31/12/2011,3.6,1.4, ,22.1,14.6,96,63,1.99,19.80
Totals:,,119.4,136.2, ,,,,,, 
