'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for TERREY HILLS New South Wales for November 2013,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 December 2013,,,,,,,,,,
© Copyright Commonwealth of Australia 2013 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
TERREY HILLS,01/11/2013,4.5,0.4, ,21.6,14.5,93,63,2.49,28.16
TERREY HILLS,02/11/2013,5.5,0.0, ,29.6,13.6,96,32,2.15,26.64
TERREY HILLS,03/11/2013,8.6,0.0, ,34.0,18.5,76,9,5.01,23.08
TERREY HILLS,04/11/2013,6.0,0.0, ,17.6,12.6,61,31,4.60,33.24
TERREY HILLS,05/11/2013,3.4,0.0, ,18.8,12.8,76,51,2.61,16.79
TERREY HILLS,06/11/2013,5.5,0.0, ,21.8,9.7,89,46,2.75,33.90
TERREY HILLS,07/11/2013,6.8,0.0, ,30.6,13.5,85,33,2.33,33.27
TERREY HILLS,08/11/2013,7.7,0.0, ,34.8,18.4,67,20,2.89,29.94
TERREY HILLS,09/11/2013,6.6,0.0, ,33.0,20.9,83,29,3.76,21.60
TERREY HILLS,10/11/2013,2.1,11.8, ,17.1,12.9,96,69,3.71,9.83
TERREY HILLS,11/11/2013,1.1,35.8, ,17.4,13.2,100,95,4.41,6.46
TERREY HILLS,12/11/2013,2.4,35.4, ,20.6,14.1,100,72,1.78,12.09
TERREY HILLS,13/11/2013,6.6,5.6, ,27.0,13.5,100,22,2.85,32.99
TERREY HILLS,14/11/2013,6.7,0.0, ,25.9,13.8,77,24,2.99,33.31
TERREY HILLS,15/11/2013,3.5,0.0, ,22.6,14.3,98,62,2.78,18.51
TERREY HILLS,16/11/2013,3.5,20.6, ,20.3,13.7,99,63,2.56,20.74
TERREY HILLS,17/11/2013,1.4,31.8, ,15.9,13.0,99,82,3.76,5.76
TERREY HILLS,18/11/2013,1.9,22.0, ,18.5,13.2,100,72,4.29,7.47
TERREY HILLS,19/11/2013,4.3,46.0, ,22.3,14.3,99,66,2.58,26.24
TERREY HILLS,20/11/2013,5.9,0.2, ,24.8,14.5,100,59,2.39,34.75
TERREY HILLS,21/11/2013,4.8,0.2, ,23.9,17.5,98,68,3.62,27.84
TERREY HILLS,22/11/2013,2.7,2.4, ,23.1,18.0,99,65,3.75,10.31
TERREY HILLS,23/11/2013,2.9,11.4, ,22.9,16.4,100,72,1.54,15.02
TERREY HILLS,24/11/2013,5.1,19.4, ,21.6,15.1,99,52,2.65,31.26
TERREY HILLS,25/11/2013,3.7,0.0, ,21.3,13.3,96,60,3.37,19.85
TERREY HILLS,26/11/2013,4.4,8.0, ,19.9,11.4,81,51,3.13,25.29
TERREY HILLS,27/11/2013,5.9,0.0, ,22.5,11.5,87,48,2.69,35.59
TERREY HILLS,28/11/2013,6.4,0.0, ,27.5,15.2,92,41,2.91,33.04
TERREY HILLS,29/11/2013,2.3,0.2, ,19.8,17.9,96,38,3.17,4.01
TERREY HILLS,30/11/2013,3.7,5.2, ,19.7,12.9,93,60,2.78,21.34
Totals:,,135.9,256.4, ,,,,,, 
