'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for THREDBO New South Wales for October 2015,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 November 2015,,,,,,,,,,
© Copyright Commonwealth of Australia 2015 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
THREDBO,01/10/2015,4.6,0.0, ,11.8,-0.8,90,11,11.11,23.57
THREDBO,02/10/2015,4.6,0.0, ,15.5,2.7,77,9,4.89,23.71
THREDBO,03/10/2015,5.6,0.0, ,13.4,8.3,68,15,12.57,23.61
THREDBO,04/10/2015,5.7,0.0, ,14.5,6.4,57,24,13.60,24.07
THREDBO,05/10/2015,5.6,0.0, ,15.5,10.1,58,29,10.32,24.25
THREDBO,06/10/2015,6.3,0.0, ,16.0,7.4,44,29,14.02,24.29
THREDBO,07/10/2015,3.9,0.0, ,13.5,8.9,93,27,3.90,24.42
THREDBO,08/10/2015,4.9,0.0, ,15.5,0.2,56,8,5.20,23.21
THREDBO,09/10/2015,4.2,0.0, ,14.3,5.5,99,16,5.49,23.02
THREDBO,10/10/2015,3.9,6.0, ,15.2,3.3,90,32,4.42,23.03
THREDBO,11/10/2015,1.8,0.6, ,9.3,5.2,99,68,8.36,11.78
THREDBO,12/10/2015,2.3,1.2, ,10.1,3.7,99,65,8.39,19.69
THREDBO,13/10/2015,3.0,0.8, ,11.5,0.6,99,62,3.55,26.32
THREDBO,14/10/2015,3.7,0.4, ,13.7,-0.1,99,44,8.58,26.43
THREDBO,15/10/2015,4.2,0.0, ,14.6,6.2,78,53,16.04,26.52
THREDBO,16/10/2015,4.2,0.0, ,14.8,9.8,78,57,13.68,25.39
THREDBO,17/10/2015,4.4,0.0, ,13.3,8.4,99,13,9.49,18.82
THREDBO,18/10/2015,4.8,2.2, ,14.3,1.3,90,11,6.34,27.29
THREDBO,19/10/2015,4.2,0.0, ,13.8,5.4,96,38,10.29,27.12
THREDBO,20/10/2015,4.2,0.0, ,16.1,8.9,99,46,11.41,25.88
THREDBO,21/10/2015,1.2,8.6, ,8.8,7.9,99,86,9.55,9.74
THREDBO,22/10/2015,2.2,14.6, ,6.5,3.5,99,99,2.44,22.33
THREDBO,23/10/2015,2.6,3.6, ,9.1,0.4,99,66,2.74,22.83
THREDBO,24/10/2015,3.1,0.0, ,10.6,3.1,95,59,7.92,27.57
THREDBO,25/10/2015,4.9,0.0, ,14.6,1.5,78,30,10.22,28.20
THREDBO,26/10/2015,3.8,0.0, ,13.0,8.3,99,44,11.82,26.02
THREDBO,27/10/2015,3.7,4.4, ,10.4,-3.4,99,29,4.52,29.49
THREDBO,28/10/2015,4.4,0.2, ,14.2,-3.0,84,6,2.99,29.28
THREDBO,29/10/2015,3.5,0.0, ,13.8,-0.5,99,44,2.50,25.37
THREDBO,30/10/2015,3.7,0.0, ,12.7,3.8,99,53,5.64,29.51
THREDBO,31/10/2015,1.8,0.0, ,12.3,4.0,99,71,11.77,9.77
Totals:,,121,42.6, ,,,,,, 
