'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for TIBOOBURRA AIRPORT New South Wales for September 2009,,,,,,,,,,
Issued at 04:34 GMT on Thursday 22 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2009 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
TIBOOBURRA AIRPORT,01/09/2009,4.1,0.0, ,22.3,7.3,55,22,2.60,21.15
TIBOOBURRA AIRPORT,02/09/2009,5.7,0.0, ,26.0,9.0,45,12,3.92,19.43
TIBOOBURRA AIRPORT,03/09/2009,6.6,0.0, ,28.1,16.0,86,18,6.76,17.11
TIBOOBURRA AIRPORT,04/09/2009,4.7,3.6, ,21.2,10.6,94,24,5.74,20.84
TIBOOBURRA AIRPORT,05/09/2009,4.1,0.0, ,20.9,7.2,59,23,2.83,21.48
TIBOOBURRA AIRPORT,06/09/2009,7.5,0.0, ,28.8,7.4,54,9,5.68,20.01
TIBOOBURRA AIRPORT,07/09/2009,6.5,0.0, ,22.5,13.6,47,24,7.39,20.35
TIBOOBURRA AIRPORT,08/09/2009,5.1,0.0, ,20.8,10.2,74,24,5.57,21.52
TIBOOBURRA AIRPORT,09/09/2009,4.5,0.0, ,21.6,7.1,58,21,3.22,21.67
TIBOOBURRA AIRPORT,10/09/2009,4.8,0.0, ,24.9,8.5,46,17,2.74,22.25
TIBOOBURRA AIRPORT,11/09/2009,8.3,0.0, ,30.0,13.2,32,7,5.67,22.51
TIBOOBURRA AIRPORT,12/09/2009,9.3,0.0, ,31.8,14.3,20,5,6.07,22.81
TIBOOBURRA AIRPORT,13/09/2009,10.6,0.0, ,34.3,13.5,25,5,6.89,22.53
TIBOOBURRA AIRPORT,14/09/2009,7.4,0.0, ,26.3,14.8,38,19,6.15,22.62
TIBOOBURRA AIRPORT,15/09/2009,6.0,0.0, ,26.6,14.9,31,13,3.49,21.61
TIBOOBURRA AIRPORT,16/09/2009,8.4,0.0, ,32.0,11.1,21,9,5.03,22.20
TIBOOBURRA AIRPORT,17/09/2009,7.0,0.0, ,26.2,20.3,73,14,7.57,14.56
TIBOOBURRA AIRPORT,18/09/2009,5.1,0.0, ,25.7,11.7,83,28,3.68,23.40
TIBOOBURRA AIRPORT,19/09/2009,6.0,0.0, ,30.0,14.9,53,20,3.91,16.47
TIBOOBURRA AIRPORT,20/09/2009,5.2,0.0, ,30.4,16.0,68,30,2.90,19.19
TIBOOBURRA AIRPORT,21/09/2009,3.5,3.2, ,23.9,17.2,98,51,5.63,11.38
TIBOOBURRA AIRPORT,22/09/2009,10.6,2.8, ,32.2,16.3,64,11,10.27,18.42
TIBOOBURRA AIRPORT,23/09/2009,6.6,0.0, ,21.8,10.9,60,31,10.09,22.75
TIBOOBURRA AIRPORT,24/09/2009,5.3,0.0, ,24.2,9.2,62,18,3.20,24.26
TIBOOBURRA AIRPORT,25/09/2009,11.3,0.0, ,31.2,11.0,43,8,10.35,22.72
TIBOOBURRA AIRPORT,26/09/2009,6.6,0.0, ,19.4,9.3,46,22,8.91,24.23
TIBOOBURRA AIRPORT,27/09/2009,5.3,0.0, ,19.2,7.3,65,27,6.19,24.07
TIBOOBURRA AIRPORT,28/09/2009,4.8,0.0, ,20.1,7.1,60,26,3.76,24.55
TIBOOBURRA AIRPORT,29/09/2009,5.4,0.0, ,24.5,7.5,53,12,2.91,25.12
TIBOOBURRA AIRPORT,30/09/2009,9.2,0.0, ,31.6,10.5,28,4,5.57,25.10
Totals:,,195.5,9.6, ,,,,,, 
