'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for TIBOOBURRA AIRPORT New South Wales for December 2013,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 January 2014,,,,,,,,,,
© Copyright Commonwealth of Australia 2013 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
TIBOOBURRA AIRPORT,01/12/2013,11.7,0.0, ,37.1,16.3,18,7,4.91,35.46
TIBOOBURRA AIRPORT,02/12/2013,12.0,0.0, ,40.4,21.0,32,10,5.16,32.96
TIBOOBURRA AIRPORT,03/12/2013,12.7,0.0, ,41.1,23.5,36,10,5.38,34.68
TIBOOBURRA AIRPORT,04/12/2013,13.6,0.2, ,39.2,24.0,63,15,9.44,28.62
TIBOOBURRA AIRPORT,05/12/2013,9.9,0.0, ,24.1,15.5,47,14,9.03,36.43
TIBOOBURRA AIRPORT,06/12/2013,8.7,0.0, ,26.7,13.9,41,20,4.69,37.04
TIBOOBURRA AIRPORT,07/12/2013,9.8,0.0, ,33.1,15.7,34,9,3.86,36.51
TIBOOBURRA AIRPORT,08/12/2013,10.3,0.0, ,39.3,19.1,20,5,3.53,33.81
TIBOOBURRA AIRPORT,09/12/2013,12.5,0.0, ,41.5,26.5,37,6,6.54,19.83
TIBOOBURRA AIRPORT,10/12/2013,10.8,0.0, ,30.6,18.1,55,12,7.53,34.47
TIBOOBURRA AIRPORT,11/12/2013,7.9,0.0, ,29.1,19.0,30,19,4.53,22.12
TIBOOBURRA AIRPORT,12/12/2013,9.9,0.0, ,31.7,16.1,42,15,4.65,36.57
TIBOOBURRA AIRPORT,13/12/2013,10.7,0.0, ,34.5,19.3,31,9,4.31,36.65
TIBOOBURRA AIRPORT,14/12/2013,12.0,0.0, ,35.3,21.4,29,13,5.70,37.03
TIBOOBURRA AIRPORT,15/12/2013,11.8,0.0, ,35.9,21.8,27,6,4.97,36.92
TIBOOBURRA AIRPORT,16/12/2013,12.1,0.0, ,37.6,21.4,20,7,4.77,37.56
TIBOOBURRA AIRPORT,17/12/2013,12.2,0.0, ,39.7,23.2,21,9,4.53,36.69
TIBOOBURRA AIRPORT,18/12/2013,14.0,0.0, ,40.7,27.5,25,12,6.34,35.79
TIBOOBURRA AIRPORT,19/12/2013,14.3,0.0, ,40.8,27.2,25,8,6.19,36.86
TIBOOBURRA AIRPORT,20/12/2013,13.7,0.0, ,41.7,25.9,21,8,5.26,37.64
TIBOOBURRA AIRPORT,21/12/2013,13.3,0.0, ,43.2,25.2,23,7,4.66,37.65
TIBOOBURRA AIRPORT,22/12/2013,14.6,0.0, ,42.5,25.4,45,8,6.92,34.85
TIBOOBURRA AIRPORT,23/12/2013,6.5,0.0, ,29.3,24.2,80,42,6.54,18.82
TIBOOBURRA AIRPORT,24/12/2013,6.5,0.0, ,28.3,20.0,70,29,5.73,15.59
TIBOOBURRA AIRPORT,25/12/2013,2.5,8.8, ,25.0,16.4,100,72,2.73,10.14
TIBOOBURRA AIRPORT,26/12/2013,8.6,1.2, ,34.8,16.7,100,18,2.42,37.81
TIBOOBURRA AIRPORT,27/12/2013,11.6,0.0, ,40.2,21.4,57,8,4.11,37.56
TIBOOBURRA AIRPORT,28/12/2013,12.7,0.0, ,43.7,23.3,35,8,4.20,37.52
TIBOOBURRA AIRPORT,29/12/2013,13.9,0.0, ,35.0,22.2,33,5,7.51,38.61
TIBOOBURRA AIRPORT,30/12/2013,12.6,0.0, ,36.2,20.4,17,6,5.54,37.43
TIBOOBURRA AIRPORT,31/12/2013,12.6,0.0, ,38.4,20.4,19,5,4.88,38.14
Totals:,,346,10.2, ,,,,,, 
