'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for TIBOOBURRA AIRPORT New South Wales for August 2014,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 September 2014,,,,,,,,,,
© Copyright Commonwealth of Australia 2014 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
TIBOOBURRA AIRPORT,01/08/2014,4.3,0.0, ,16.4,8.9,63,23,7.03,15.24
TIBOOBURRA AIRPORT,02/08/2014,3.3,0.0, ,14.6,2.5,67,23,4.72,15.54
TIBOOBURRA AIRPORT,03/08/2014,3.4,0.0, ,15.7,2.4,54,23,4.17,15.76
TIBOOBURRA AIRPORT,04/08/2014,4.5,0.0, ,20.7,3.1,42,23,4.91,15.50
TIBOOBURRA AIRPORT,05/08/2014,4.1,0.0, ,21.3,7.2,49,30,4.33,15.38
TIBOOBURRA AIRPORT,06/08/2014,3.8,0.0, ,22.3,8.6,50,31,3.64,15.02
TIBOOBURRA AIRPORT,07/08/2014,3.3,0.0, ,21.6,6.5,63,25,2.77,15.73
TIBOOBURRA AIRPORT,08/08/2014,3.6,0.0, ,21.2,6.1,46,18,2.80,16.27
TIBOOBURRA AIRPORT,09/08/2014,3.2,0.0, ,22.3,5.9,50,18,2.15,16.37
TIBOOBURRA AIRPORT,10/08/2014,4.1,0.0, ,23.1,7.7,48,17,3.34,14.37
TIBOOBURRA AIRPORT,11/08/2014,4.0,0.0, ,16.6,6.9,56,27,5.50,16.45
TIBOOBURRA AIRPORT,12/08/2014,3.5,0.0, ,14.5,2.1,56,25,5.06,16.47
TIBOOBURRA AIRPORT,13/08/2014,3.5,0.0, ,17.3,3.1,53,28,3.99,15.96
TIBOOBURRA AIRPORT,14/08/2014,2.9,0.0, ,18.1,7.9,100,40,6.50,6.68
TIBOOBURRA AIRPORT,15/08/2014,0.7,23.8, ,13.9,10.8,100,94,5.86,4.05
TIBOOBURRA AIRPORT,16/08/2014,1.9,6.2, ,15.9,9.3,100,65,5.03,10.27
TIBOOBURRA AIRPORT,17/08/2014,2.7,1.0, ,16.9,9.9,100,53,7.33,13.32
TIBOOBURRA AIRPORT,18/08/2014,2.8,0.0, ,15.5,6.3,96,48,5.82,17.60
TIBOOBURRA AIRPORT,19/08/2014,2.9,0.0, ,16.6,5.8,88,42,4.08,17.85
TIBOOBURRA AIRPORT,20/08/2014,2.8,0.0, ,19.7,5.7,97,42,2.82,16.56
TIBOOBURRA AIRPORT,21/08/2014,3.9,0.0, ,20.3,9.4,76,25,3.98,17.64
TIBOOBURRA AIRPORT,22/08/2014,3.6,0.0, ,22.8,6.9,86,26,2.85,16.96
TIBOOBURRA AIRPORT,23/08/2014,3.7,0.0, ,23.4,10.4,76,29,2.79,17.48
TIBOOBURRA AIRPORT,24/08/2014,3.9,0.0, ,23.6,12.3,62,30,2.81,17.82
TIBOOBURRA AIRPORT,25/08/2014,4.9,0.0, ,21.7,10.3,61,19,4.70,18.80
TIBOOBURRA AIRPORT,26/08/2014,4.0,0.0, ,19.3,7.3,64,35,4.81,18.43
TIBOOBURRA AIRPORT,27/08/2014,4.2,0.0, ,21.9,8.8,71,37,4.49,18.26
TIBOOBURRA AIRPORT,28/08/2014,4.8,0.0, ,22.3,10.7,72,22,4.73,18.66
TIBOOBURRA AIRPORT,29/08/2014,4.9,0.0, ,23.0,9.3,57,19,4.01,19.18
TIBOOBURRA AIRPORT,30/08/2014,3.9,0.0, ,24.0,8.6,56,19,2.22,19.05
TIBOOBURRA AIRPORT,31/08/2014,4.9,0.0, ,25.6,9.9,47,16,3.14,19.32
Totals:,,112,31, ,,,,,, 
