'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for TIBOOBURRA AIRPORT New South Wales for April 2015,,,,,,,,,,
Issued at 22:31 GMT on Friday 01 May 2015,,,,,,,,,,
© Copyright Commonwealth of Australia 2015 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
TIBOOBURRA AIRPORT,01/04/2015,6.6,0.0, ,34.4,18.6,28,12,3.06,20.65
TIBOOBURRA AIRPORT,02/04/2015,7.8,0.0, ,34.9,20.5,25,11,4.26,17.93
TIBOOBURRA AIRPORT,03/04/2015,6.3,0.0, ,24.3,20.0,26,20,5.39,7.61
TIBOOBURRA AIRPORT,04/04/2015,6.5,0.0, ,30.5,17.4,30,14,3.72,18.98
TIBOOBURRA AIRPORT,05/04/2015,5.8,0.0, ,31.6,16.4,32,14,2.95,18.59
TIBOOBURRA AIRPORT,06/04/2015,8.0,0.0, ,24.9,15.1,35,20,8.54,20.47
TIBOOBURRA AIRPORT,07/04/2015,6.0,0.0, ,21.0,9.8,50,25,7.77,17.93
TIBOOBURRA AIRPORT,08/04/2015,5.4,0.0, ,22.4,9.4,52,24,5.17,20.34
TIBOOBURRA AIRPORT,09/04/2015,5.0,0.0, ,24.2,8.7,54,21,3.66,20.23
TIBOOBURRA AIRPORT,10/04/2015,5.0,0.0, ,24.9,14.0,38,20,3.49,15.59
TIBOOBURRA AIRPORT,11/04/2015,5.1,0.0, ,28.3,10.8,47,17,2.87,19.59
TIBOOBURRA AIRPORT,12/04/2015,5.9,0.0, ,30.3,14.0,38,15,3.48,19.00
TIBOOBURRA AIRPORT,13/04/2015,6.2,0.0, ,31.7,15.5,34,14,3.55,17.80
TIBOOBURRA AIRPORT,14/04/2015,6.4,0.0, ,34.8,18.4,28,11,3.33,14.74
TIBOOBURRA AIRPORT,15/04/2015,6.4,0.0, ,33.7,23.1,21,12,3.58,9.41
TIBOOBURRA AIRPORT,16/04/2015,8.1,0.0, ,33.7,23.1,21,12,5.19,11.28
TIBOOBURRA AIRPORT,17/04/2015,8.3,0.0, ,34.5,19.6,26,11,5.37,11.39
TIBOOBURRA AIRPORT,18/04/2015,5.8,23.6, ,23.2,18.6,34,22,5.16,13.18
TIBOOBURRA AIRPORT,19/04/2015,5.4,0.0, ,19.2,12.2,43,28,6.68,18.33
TIBOOBURRA AIRPORT,20/04/2015,4.8,0.0, ,17.6,8.5,55,31,7.32,19.23
TIBOOBURRA AIRPORT,21/04/2015,5.1,0.0, ,21.0,8.7,54,25,5.85,18.35
TIBOOBURRA AIRPORT,22/04/2015,4.3,0.0, ,21.1,8.2,56,25,4.03,18.02
TIBOOBURRA AIRPORT,23/04/2015,3.9,0.0, ,23.1,10.2,49,23,2.94,14.46
TIBOOBURRA AIRPORT,24/04/2015,6.2,0.0, ,25.5,13.7,37,19,5.50,17.45
TIBOOBURRA AIRPORT,25/04/2015,6.0,0.0, ,20.6,11.0,46,25,8.61,17.35
TIBOOBURRA AIRPORT,26/04/2015,4.2,0.0, ,19.3,9.2,52,29,4.79,16.05
TIBOOBURRA AIRPORT,27/04/2015,4.1,0.0, ,18.5,9.0,52,29,4.71,17.36
TIBOOBURRA AIRPORT,28/04/2015,4.1,0.0, ,19.1,8.0,57,28,4.58,17.56
TIBOOBURRA AIRPORT,29/04/2015,4.1,0.0, ,19.6,9.0,52,28,4.30,17.19
TIBOOBURRA AIRPORT,30/04/2015,4.7,0.0, ,23.0,8.3,55,23,4.47,16.57
Totals:,,171.5,23.6, ,,,,,, 
