'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for TRANGIE RESEARCH STATION New South Wales for February 2009,,,,,,,,,,
Issued at 04:34 GMT on Thursday 22 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2009 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
TRANGIE RESEARCH STATION,01/02/2009,8.9,0.0, ,39.9,24.2,49,17,3.11,29.22
TRANGIE RESEARCH STATION,02/02/2009,9.1,0.0, ,38.1,23.7,67,24,4.20,28.71
TRANGIE RESEARCH STATION,03/02/2009,9.4,4.6, ,39.2,22.9,74,22,4.58,27.77
TRANGIE RESEARCH STATION,04/02/2009,8.6,0.0, ,39.1,22.5,75,21,3.39,28.98
TRANGIE RESEARCH STATION,05/02/2009,9.1,0.0, ,41.0,24.3,58,20,3.12,30.43
TRANGIE RESEARCH STATION,06/02/2009,9.8,0.0, ,42.2,26.8,47,17,3.47,30.49
TRANGIE RESEARCH STATION,07/02/2009,10.2,0.0, ,39.8,27.7,39,16,4.09,30.48
TRANGIE RESEARCH STATION,08/02/2009,10.2,0.0, ,41.6,25.4,40,13,3.80,30.43
TRANGIE RESEARCH STATION,09/02/2009,10.2,0.0, ,38.8,25.4,38,16,4.70,27.30
TRANGIE RESEARCH STATION,10/02/2009,7.6,0.2, ,29.8,21.2,79,19,5.60,23.57
TRANGIE RESEARCH STATION,11/02/2009,8.0,0.0, ,29.8,14.6,58,20,5.13,27.99
TRANGIE RESEARCH STATION,12/02/2009,8.0,0.0, ,30.4,16.7,71,24,5.85,26.66
TRANGIE RESEARCH STATION,13/02/2009,3.2,22.0, ,21.7,14.6,95,59,6.95,10.47
TRANGIE RESEARCH STATION,14/02/2009,2.0,12.2, ,18.7,15.5,97,81,5.36,10.04
TRANGIE RESEARCH STATION,15/02/2009,3.6,15.2, ,23.6,15.3,92,55,3.90,15.10
TRANGIE RESEARCH STATION,16/02/2009,4.8,0.4, ,26.4,17.3,87,48,5.47,16.79
TRANGIE RESEARCH STATION,17/02/2009, ,11.0, ,25.0,15.9,97,53,4.18, 
TRANGIE RESEARCH STATION,18/02/2009, ,3.0, ,26.2,17.1,87,59,3.42, 
TRANGIE RESEARCH STATION,19/02/2009,5.8,0.0, ,30.9,16.7,97,32,1.95,28.35
TRANGIE RESEARCH STATION,20/02/2009,6.2,0.0, ,33.9,16.8,90,21,1.68,28.99
TRANGIE RESEARCH STATION,21/02/2009,7.1,0.0, ,32.7,18.5,72,26,3.18,28.95
TRANGIE RESEARCH STATION,22/02/2009,7.0,0.0, ,33.5,18.5,86,28,3.25,28.08
TRANGIE RESEARCH STATION,23/02/2009,7.5,0.0, ,33.6,20.4,93,34,5.13,27.06
TRANGIE RESEARCH STATION,24/02/2009,6.4,6.6, ,33.6,18.6,98,33,3.82,23.27
TRANGIE RESEARCH STATION,25/02/2009,6.4,0.0, ,32.1,17.6,92,25,2.55,28.34
TRANGIE RESEARCH STATION,26/02/2009,6.5,0.0, ,32.8,15.1,94,22,2.53,28.90
TRANGIE RESEARCH STATION,27/02/2009,6.1,0.0, ,30.7,17.3,74,32,3.06,25.65
TRANGIE RESEARCH STATION,28/02/2009,8.5,0.0, ,35.5,18.5,70,20,4.64,27.51
Totals:,,190.2,75.2, ,,,,,, 
