'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for TRANGIE RESEARCH STATION New South Wales for January 2010,,,,,,,,,,
Issued at 04:34 GMT on Thursday 22 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2010 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
TRANGIE RESEARCH STATION,01/01/2010,2.6,6.0, ,22.2,19.2,99,69,3.28,10.86
TRANGIE RESEARCH STATION,02/01/2010,6.0,22.0, ,31.4,20.1,99,49,3.39,26.05
TRANGIE RESEARCH STATION,03/01/2010,8.5,0.0, ,29.1,17.6,68,20,4.70,34.29
TRANGIE RESEARCH STATION,04/01/2010,7.1,0.0, ,31.9,17.9,88,42,3.69,30.44
TRANGIE RESEARCH STATION,05/01/2010,6.5,0.0, ,31.9,20.8,93,48,4.85,25.33
TRANGIE RESEARCH STATION,06/01/2010,6.7,4.0, ,33.2,19.1,98,41,1.90,31.73
TRANGIE RESEARCH STATION,07/01/2010,7.7,0.0, ,34.6,18.7,94,28,2.75,32.55
TRANGIE RESEARCH STATION,08/01/2010,7.8,0.0, ,32.8,21.1,84,36,3.44,32.91
TRANGIE RESEARCH STATION,09/01/2010,8.2,0.0, ,34.8,21.0,81,31,3.23,33.15
TRANGIE RESEARCH STATION,10/01/2010,8.7,0.0, ,38.0,21.9,75,27,2.92,33.20
TRANGIE RESEARCH STATION,11/01/2010,8.7,0.0, ,37.7,22.5,77,28,3.12,33.11
TRANGIE RESEARCH STATION,12/01/2010,9.6,0.0, ,38.8,21.5,72,20,3.74,33.20
TRANGIE RESEARCH STATION,13/01/2010,10.7,0.0, ,39.4,22.0,69,21,5.67,29.87
TRANGIE RESEARCH STATION,14/01/2010,7.5,0.2, ,34.7,20.4,76,30,2.72,30.32
TRANGIE RESEARCH STATION,15/01/2010,8.3,0.0, ,35.9,21.2,83,28,3.71,30.31
TRANGIE RESEARCH STATION,16/01/2010,5.0,2.0, ,29.9,21.3,96,45,3.62,18.71
TRANGIE RESEARCH STATION,17/01/2010,8.4,4.8, ,30.0,20.5,90,19,5.16,33.11
TRANGIE RESEARCH STATION,18/01/2010,7.8,0.0, ,24.3,12.0,69,21,6.21,34.25
TRANGIE RESEARCH STATION,19/01/2010,7.4,0.0, ,26.8,9.6,77,19,4.10,34.19
TRANGIE RESEARCH STATION,20/01/2010,7.9,0.0, ,34.1,10.7,66,10,2.35,34.02
TRANGIE RESEARCH STATION,21/01/2010,8.0,0.0, ,38.7,16.4,61,12,2.04,32.91
TRANGIE RESEARCH STATION,22/01/2010,10.8,0.0, ,39.1,19.8,56,13,4.65,33.12
TRANGIE RESEARCH STATION,23/01/2010,11.2,0.0, ,40.6,24.0,41,16,4.73,32.08
TRANGIE RESEARCH STATION,24/01/2010,9.2,0.0, ,39.4,21.6,72,17,3.10,32.74
TRANGIE RESEARCH STATION,25/01/2010,10.1,0.0, ,40.2,21.5,72,15,4.64,28.40
TRANGIE RESEARCH STATION,26/01/2010,9.2,0.0, ,41.1,20.7,56,9,2.87,31.54
TRANGIE RESEARCH STATION,27/01/2010,9.1,0.0, ,40.2,24.5,62,19,4.20,23.69
TRANGIE RESEARCH STATION,28/01/2010,7.1,0.0, ,34.7,19.4,76,22,3.75,20.75
TRANGIE RESEARCH STATION,29/01/2010,7.5,0.0, ,37.2,20.5,74,16,2.54,27.61
TRANGIE RESEARCH STATION,30/01/2010,9.7,0.0, ,35.1,22.1,68,26,5.70,31.67
TRANGIE RESEARCH STATION,31/01/2010,7.9,0.0, ,34.4,21.6,78,29,4.51,26.31
Totals:,,250.9,39, ,,,,,, 
