'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for TRANGIE RESEARCH STATION New South Wales for September 2011,,,,,,,,,,
Issued at 22:35 GMT on Saturday 01 October 2011,,,,,,,,,,
© Copyright Commonwealth of Australia 2011 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
TRANGIE RESEARCH STATION,01/09/2011,3.2,0.0, ,22.2,2.0,95,31,2.14,19.50
TRANGIE RESEARCH STATION,02/09/2011,4.0,0.0, ,23.9,6.3,97,31,3.57,18.97
TRANGIE RESEARCH STATION,03/09/2011,3.9,0.0, ,22.8,8.6,83,39,3.68,19.46
TRANGIE RESEARCH STATION,04/09/2011,4.4,0.0, ,23.9,7.9,79,33,4.15,19.38
TRANGIE RESEARCH STATION,05/09/2011,4.6,0.0, ,24.2,10.2,69,30,3.80,19.59
TRANGIE RESEARCH STATION,06/09/2011,5.1,0.0, ,25.5,9.6,94,32,5.69,19.62
TRANGIE RESEARCH STATION,07/09/2011,3.5,1.4, ,19.0,7.5,99,31,3.53,19.69
TRANGIE RESEARCH STATION,08/09/2011,2.4,0.0, ,19.5,3.6,99,37,2.33,9.39
TRANGIE RESEARCH STATION,09/09/2011,3.3,7.8, ,16.2,8.3,99,40,6.90,16.86
TRANGIE RESEARCH STATION,10/09/2011,3.4,1.8, ,16.6,1.7,99,38,6.04,18.43
TRANGIE RESEARCH STATION,11/09/2011,2.9,0.0, ,17.0,1.7,93,45,4.50,15.16
TRANGIE RESEARCH STATION,12/09/2011,3.1,0.0, ,18.5,2.4,99,35,2.30,21.51
TRANGIE RESEARCH STATION,13/09/2011,3.5,0.0, ,21.4,-0.2,99,20,1.88,22.22
TRANGIE RESEARCH STATION,14/09/2011,5.0,0.0, ,25.7,0.3,89,15,3.10,22.24
TRANGIE RESEARCH STATION,15/09/2011,5.4,0.0, ,26.2,5.3,79,18,3.88,22.01
TRANGIE RESEARCH STATION,16/09/2011,6.3,0.0, ,30.5,5.5,82,13,3.74,22.14
TRANGIE RESEARCH STATION,17/09/2011,6.1,0.0, ,31.3,5.9,71,10,3.10,22.52
TRANGIE RESEARCH STATION,18/09/2011,6.7,0.0, ,32.5,12.0,49,10,3.48,21.52
TRANGIE RESEARCH STATION,19/09/2011,7.2,0.0, ,31.7,10.3,88,14,5.01,21.68
TRANGIE RESEARCH STATION,20/09/2011,6.7,0.0, ,22.3,15.9,53,20,6.81,22.55
TRANGIE RESEARCH STATION,21/09/2011,3.9,0.0, ,22.6,1.1,84,27,2.23,22.85
TRANGIE RESEARCH STATION,22/09/2011,4.9,0.0, ,27.0,4.5,87,20,2.56,23.63
TRANGIE RESEARCH STATION,23/09/2011,6.1,0.0, ,30.2,6.5,74,14,3.27,23.59
TRANGIE RESEARCH STATION,24/09/2011,5.5,0.0, ,27.2,7.8,83,24,3.74,23.16
TRANGIE RESEARCH STATION,25/09/2011,4.4,0.0, ,21.1,5.1,80,33,4.24,22.20
TRANGIE RESEARCH STATION,26/09/2011,4.5,0.0, ,23.0,3.7,92,33,3.78,23.31
TRANGIE RESEARCH STATION,27/09/2011,5.3,0.0, ,26.0,9.4,80,29,4.00,22.43
TRANGIE RESEARCH STATION,28/09/2011,2.8,0.0, ,20.0,15.8,99,48,5.48,7.10
TRANGIE RESEARCH STATION,29/09/2011,3.7,38.8, ,18.0,13.0,99,45,7.61,18.09
TRANGIE RESEARCH STATION,30/09/2011,4.0,0.6, ,19.9,4.9,97,35,3.96,22.12
Totals:,,135.8,50.4, ,,,,,, 
