'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for TUGGERANONG (ISABELLA PLAINS) New South Wales for February 2010,,,,,,,,,,
Issued at 04:34 GMT on Thursday 22 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2010 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
TUGGERANONG (ISABELLA PLAINS),01/02/2010,7.7,0.0, ,31.8,17.9,85,17,3.79,29.86
TUGGERANONG (ISABELLA PLAINS),02/02/2010,6.7,0.0, ,27.6,14.0,84,29,4.27,29.49
TUGGERANONG (ISABELLA PLAINS),03/02/2010,5.8, , ,27.2,17.8,77,38,4.84,21.00
TUGGERANONG (ISABELLA PLAINS),04/02/2010,4.2,0.4, ,27.2,18.8,96,52,3.31,17.19
TUGGERANONG (ISABELLA PLAINS),05/02/2010,3.5,6.0, ,26.4,19.7,100,63,2.82,15.82
TUGGERANONG (ISABELLA PLAINS),06/02/2010,5.2,26.2, ,24.5,16.5,82,59,7.25,23.90
TUGGERANONG (ISABELLA PLAINS),07/02/2010,5.1,0.0, ,26.8,16.7,78,56,4.63,21.63
TUGGERANONG (ISABELLA PLAINS),08/02/2010,4.2, , ,27.1,19.5,87,55,1.66,19.87
TUGGERANONG (ISABELLA PLAINS),09/02/2010,6.1,0.0, ,31.7,16.9,91,28,1.47,30.35
TUGGERANONG (ISABELLA PLAINS),10/02/2010,4.9,0.0, ,33.4,17.1,92,33,1.32,21.64
TUGGERANONG (ISABELLA PLAINS),11/02/2010,6.2, , ,33.3,16.2,98,33,2.04,28.24
TUGGERANONG (ISABELLA PLAINS),12/02/2010,4.5,1.6, ,29.1,19.9,96,49,2.88,18.29
TUGGERANONG (ISABELLA PLAINS),13/02/2010,1.8,36.2, ,19.0,16.6,100,94,1.28,9.91
TUGGERANONG (ISABELLA PLAINS),14/02/2010, ,54.0, ,22.8,16.7, , , ,13.83
TUGGERANONG (ISABELLA PLAINS),15/02/2010,3.7,35.8, ,23.1,16.1,99,59,4.20,17.76
TUGGERANONG (ISABELLA PLAINS),16/02/2010,5.9,2.4, ,24.4,15.3,84,43,4.76,29.75
TUGGERANONG (ISABELLA PLAINS),17/02/2010,5.4,0.0, ,27.5,11.6,94,42,1.86,29.82
TUGGERANONG (ISABELLA PLAINS),18/02/2010,5.7,0.0, ,24.2,11.6,86,40,3.47,30.58
TUGGERANONG (ISABELLA PLAINS),19/02/2010,4.8,0.0, ,25.3,10.0,96,39,1.77,27.54
TUGGERANONG (ISABELLA PLAINS),20/02/2010,5.4, , ,27.8,11.8,96,36,2.11,28.73
TUGGERANONG (ISABELLA PLAINS),21/02/2010,6.3,0.0, ,30.9,14.8,88,24,2.63,28.72
TUGGERANONG (ISABELLA PLAINS),22/02/2010,5.5,0.0, ,29.9,16.6,89,40,3.35,23.12
TUGGERANONG (ISABELLA PLAINS),23/02/2010,6.6,0.0, ,26.1,18.1,75,27,3.67,30.01
TUGGERANONG (ISABELLA PLAINS),24/02/2010,5.3,0.0, ,25.3,11.2,82,38,2.59,28.98
TUGGERANONG (ISABELLA PLAINS),25/02/2010,5.8,0.0, ,25.7,15.9,75,37,3.45,28.03
TUGGERANONG (ISABELLA PLAINS),26/02/2010,5.3,0.0, ,26.9,10.9,88,31,1.75,29.10
TUGGERANONG (ISABELLA PLAINS),27/02/2010,5.3,0.0, ,29.6,12.2,94,37,2.21,26.48
TUGGERANONG (ISABELLA PLAINS),28/02/2010,4.6,0.0, ,27.5,17.1,84,43,2.47,20.92
Totals:,,141.5,162.6, ,,,,,, 
