'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for TUGGERANONG (ISABELLA PLAINS) New South Wales for July 2016,,,,,,,,,,
Issued at 22:30 GMT on Monday 01 August 2016,,,,,,,,,,
© Copyright Commonwealth of Australia 2016 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
TUGGERANONG (ISABELLA PLAINS),01/07/2016,1.3,1.0, ,12.7,0.2,96,46,2.42,10.42
TUGGERANONG (ISABELLA PLAINS),02/07/2016,0.9,0.0, ,13.7,-4.0,98,48,1.15,10.48
TUGGERANONG (ISABELLA PLAINS),03/07/2016,0.7,0.0, ,12.9,-5.0,98,58,0.82,10.53
TUGGERANONG (ISABELLA PLAINS),04/07/2016,0.5,0.0, ,7.0,-1.4,99,76,0.82,6.99
TUGGERANONG (ISABELLA PLAINS),05/07/2016,0.4,3.8, ,7.2,0.3,100,99,0.72,2.99
TUGGERANONG (ISABELLA PLAINS),06/07/2016,0.9,10.8, ,12.2,3.9,100,69,2.64,5.95
TUGGERANONG (ISABELLA PLAINS),07/07/2016,1.8,1.8, ,13.9,7.1,84,51,4.37,9.99
TUGGERANONG (ISABELLA PLAINS),08/07/2016,1.0,0.0, ,11.3,7.2,90,73,2.54,6.49
TUGGERANONG (ISABELLA PLAINS),09/07/2016,0.9,0.2, ,13.9,5.3,99,59,0.85,9.45
TUGGERANONG (ISABELLA PLAINS),10/07/2016,0.9,0.0, ,13.2,6.8,93,62,1.28,7.31
TUGGERANONG (ISABELLA PLAINS),11/07/2016,1.1,11.2, ,13.7,8.5,99,63,2.92,5.15
TUGGERANONG (ISABELLA PLAINS),12/07/2016,1.7,0.0, ,10.7,6.4,90,51,5.85,7.72
TUGGERANONG (ISABELLA PLAINS),13/07/2016,1.5,3.2, ,6.2,1.2,82,51,5.93,10.16
TUGGERANONG (ISABELLA PLAINS),14/07/2016,1.6,0.0, ,11.9,-2.4,98,31,2.72,11.12
TUGGERANONG (ISABELLA PLAINS),15/07/2016,1.0,0.0, ,13.2,-5.0,96,41,0.68,13.71
TUGGERANONG (ISABELLA PLAINS),16/07/2016,0.9,0.0, ,15.4,-2.8,98,45,0.62,11.26
TUGGERANONG (ISABELLA PLAINS),17/07/2016,1.0,0.2, ,16.0,-1.2,100,55,0.80,11.33
TUGGERANONG (ISABELLA PLAINS),18/07/2016,1.4,0.2, ,17.2,-0.1,100,54,2.20,10.64
TUGGERANONG (ISABELLA PLAINS),19/07/2016,1.5,1.6, ,18.7,2.5,100,61,2.58,9.62
TUGGERANONG (ISABELLA PLAINS),20/07/2016,0.8,6.8, ,14.9,9.8,100,76,0.75,4.45
TUGGERANONG (ISABELLA PLAINS),21/07/2016,0.8,0.0, ,14.5,8.7,100,75,0.98,6.23
TUGGERANONG (ISABELLA PLAINS),22/07/2016,1.8,0.2, ,16.8,7.7,100,56,5.16,2.70
TUGGERANONG (ISABELLA PLAINS),23/07/2016,2.1,11.4, ,10.7,4.7,83,48,6.39,10.78
TUGGERANONG (ISABELLA PLAINS),24/07/2016,1.2,0.0, ,8.6,-2.2,97,51,2.80,7.93
TUGGERANONG (ISABELLA PLAINS),25/07/2016,1.4,7.6, ,10.1,2.9,98,59,4.54,9.93
TUGGERANONG (ISABELLA PLAINS),26/07/2016,1.7,0.4, ,9.9,4.7,91,47,4.64,12.07
TUGGERANONG (ISABELLA PLAINS),27/07/2016,1.4,3.6, ,11.7,4.3,99,54,3.42,8.67
TUGGERANONG (ISABELLA PLAINS),28/07/2016,1.5,0.4, ,13.6,-1.6,99,42,1.96,12.32
TUGGERANONG (ISABELLA PLAINS),29/07/2016,1.3,0.0, ,13.7,-4.2,98,51,1.86,11.77
TUGGERANONG (ISABELLA PLAINS),30/07/2016,1.0,0.0, ,11.2,0.7,99,65,1.35,9.22
TUGGERANONG (ISABELLA PLAINS),31/07/2016,1.6,0.0, ,15.0,3.5,98,55,3.06,11.76
Totals:,,37.6,64.4, ,,,,,, 
