'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for ULLADULLA New South Wales for June 2013,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 July 2013,,,,,,,,,,
© Copyright Commonwealth of Australia 2013 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
ULLADULLA,01/06/2013,1.2,0.0, ,19.2,15.7,92,70,2.75,2.65
ULLADULLA,02/06/2013,2.4,23.6, ,16.5,13.7,99,53,10.58,4.79
ULLADULLA,03/06/2013,1.8,1.2, ,16.9,10.0,77,45,2.73,11.37
ULLADULLA,04/06/2013, ,0.0, , ,9.7,79,50,1.74,11.02
ULLADULLA,05/06/2013, , , ,18.2, ,95,60,1.46,8.41
ULLADULLA,06/06/2013,1.9,0.0, ,18.6,12.2,72,31,1.99,2.96
ULLADULLA,07/06/2013,2.7,0.0, ,20.9,14.1,76,45,4.34,8.88
ULLADULLA,08/06/2013,1.5,0.0, ,16.4,10.5,77,51,2.25,10.89
ULLADULLA,09/06/2013,1.5,0.0, ,18.2,9.4,88,51,2.12,10.85
ULLADULLA,10/06/2013,1.2,0.0, ,17.3,9.9,85,70,2.38,4.58
ULLADULLA,11/06/2013,1.3,0.0, ,18.7,9.5,85,50,1.51,10.55
ULLADULLA,12/06/2013,0.8,0.0, ,15.7,9.6,99,71,1.20,3.29
ULLADULLA,13/06/2013, ,13.4, , ,9.6,100,57,1.36,8.16
ULLADULLA,14/06/2013, , , ,18.5, ,91,54,3.44,7.74
ULLADULLA,15/06/2013,2.1,4.4, ,16.6,10.8,98,53,7.13,9.67
ULLADULLA,16/06/2013,2.1,0.0, ,17.1,10.4,66,48,3.62,10.75
ULLADULLA,17/06/2013,1.8,0.4, ,15.4,10.2,87,57,5.00,8.61
ULLADULLA,18/06/2013,1.4,0.4, ,15.3,8.9,94,65,4.53,8.49
ULLADULLA,19/06/2013,1.9,9.8, ,14.9,9.5,84,63,6.44,9.68
ULLADULLA,20/06/2013,1.7,0.2, ,14.7,8.5,80,59,4.10,10.17
ULLADULLA,21/06/2013,1.1,0.0, ,14.5,8.6,95,68,3.00,7.20
ULLADULLA,22/06/2013, ,10.0, , ,8.3,95,79,2.86,6.48
ULLADULLA,23/06/2013, , , ,13.4, ,99,77,4.01,2.73
ULLADULLA,24/06/2013,1.2,112.2, ,16.1,8.0,100,73,5.52,2.55
ULLADULLA,25/06/2013,1.6,51.2, ,16.3,12.4,98,72,10.97,3.67
ULLADULLA,26/06/2013,0.9,23.0, ,16.0,12.1,100,81,4.73,5.41
ULLADULLA,27/06/2013,1.0,9.0, ,16.6,11.6,96,77,2.50,9.47
ULLADULLA,28/06/2013, ,0.4, ,17.1,10.1,97,80,1.79, 
ULLADULLA,29/06/2013,0.6,3.0, ,13.2,12.0,98,92,1.26,2.97
ULLADULLA,30/06/2013,1.0,11.4, ,15.7,9.5,96,73,2.35,8.48
Totals:,,34.7,273.6, ,,,,,, 
