'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for WAGGA WAGGA AMO New South Wales for July 2012,,,,,,,,,,
Issued at 22:38 GMT on Wednesday 01 August 2012,,,,,,,,,,
© Copyright Commonwealth of Australia 2012 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
WAGGA WAGGA AMO,01/07/2012,1.1,0.8,0.4,11.2,2.9,99,62,3.18,6.47
WAGGA WAGGA AMO,02/07/2012,1.0,4.0,1.2,11.5,6.0,97,72,4.36,4.26
WAGGA WAGGA AMO,03/07/2012,0.8,0.2,0.2,11.6,0.5,100,65,1.77,7.41
WAGGA WAGGA AMO,04/07/2012,0.8,0.2,1.0,11.8,-0.9,100,64,1.47,8.60
WAGGA WAGGA AMO,05/07/2012,1.5,0.0,1.0,14.5,-2.2,100,39,2.58,9.35
WAGGA WAGGA AMO,06/07/2012,1.4,0.2,1.6,14.1,-2.4,100,41,2.40,9.41
WAGGA WAGGA AMO,07/07/2012,1.6,0.0,0.8,15.2,-2.3,100,40,2.53,9.44
WAGGA WAGGA AMO,08/07/2012,1.7,0.2,1.0,14.7,-1.4,100,43,3.23,9.45
WAGGA WAGGA AMO,09/07/2012,2.1,0.0,1.4,16.3,2.4,85,47,4.27,8.16
WAGGA WAGGA AMO,10/07/2012,1.5,0.0,2.0,11.9,6.1,96,54,5.16,2.45
WAGGA WAGGA AMO,11/07/2012,1.4,14.4,0.8,15.9,9.0,96,58,2.90,6.79
WAGGA WAGGA AMO,12/07/2012,1.0,0.0,0.8,13.8,6.0,96,75,3.72,3.48
WAGGA WAGGA AMO,13/07/2012,1.5,12.2,1.2,17.0,8.6,99,61,3.48,7.75
WAGGA WAGGA AMO,14/07/2012,1.4,0.0,1.6,14.7,6.7,99,55,3.26,4.91
WAGGA WAGGA AMO,15/07/2012,1.4,3.0,1.8,11.1,6.0,97,57,4.89,6.11
WAGGA WAGGA AMO,16/07/2012,0.8,0.4,0.4,13.0,6.2,99,75,1.76,5.38
WAGGA WAGGA AMO,17/07/2012,1.1,0.2,1.6,13.9,4.1,100,65,2.40,7.38
WAGGA WAGGA AMO,18/07/2012,1.5,0.0,0.2,15.3,3.3,99,45,2.48,8.33
WAGGA WAGGA AMO,19/07/2012,1.3,0.0,1.0,12.6,-1.7,100,41,1.88,10.37
WAGGA WAGGA AMO,20/07/2012,1.2,0.2,1.0,14.7,0.0,99,58,2.11,9.28
WAGGA WAGGA AMO,21/07/2012,1.6,0.0,1.2,15.7,-0.4,100,45,2.38,10.53
WAGGA WAGGA AMO,22/07/2012,1.4,0.0,1.4,15.0,0.0,98,46,2.10,10.66
WAGGA WAGGA AMO,23/07/2012,1.6,0.0,1.4,15.6,0.3,98,42,2.34,10.81
WAGGA WAGGA AMO,24/07/2012,1.6,0.2,1.4,15.1,0.1,98,47,2.65,10.54
WAGGA WAGGA AMO,25/07/2012,1.7,0.0,1.4,15.2,4.4,91,52,3.48,5.99
WAGGA WAGGA AMO,26/07/2012,1.4,3.0,1.2,14.6,7.5,97,54,2.65,8.09
WAGGA WAGGA AMO,27/07/2012,0.7,0.6,1.8,10.3,3.7,100,83,1.67,5.68
WAGGA WAGGA AMO,28/07/2012,1.2,3.4,0.0,11.9,4.2,100,64,3.23,6.14
WAGGA WAGGA AMO,29/07/2012,1.5,0.0,0.6,13.1,5.1,97,52,3.14,8.87
WAGGA WAGGA AMO,30/07/2012,1.5,0.0,0.8,12.6,-0.9,100,41,2.39,11.67
WAGGA WAGGA AMO,31/07/2012,1.4,0.0,1.0,12.5,-2.6,100,41,1.77,11.75
Totals:,,41.7,43.2,33.2,,,,,, 
