'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for WALGETT AIRPORT New South Wales for May 2014,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 June 2014,,,,,,,,,,
© Copyright Commonwealth of Australia 2014 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
WALGETT AIRPORT,01/05/2014,2.9,2.0, ,22.5,5.4,94,31,2.16,16.75
WALGETT AIRPORT,02/05/2014,3.6,0.0, ,19.4,8.6,85,33,5.08,15.17
WALGETT AIRPORT,03/05/2014,2.6,1.8, ,15.2,9.0,92,46,6.75,8.18
WALGETT AIRPORT,04/05/2014,3.3,0.0, ,19.3,9.3,73,43,5.00,11.90
WALGETT AIRPORT,05/05/2014,2.8,0.0, ,18.9,2.9,89,30,2.91,14.05
WALGETT AIRPORT,06/05/2014,2.4,0.0, ,18.9,0.7,90,40,2.59,12.07
WALGETT AIRPORT,07/05/2014,2.8,0.0, ,22.3,7.8,79,33,2.13,15.37
WALGETT AIRPORT,08/05/2014,3.6,0.0, ,24.8,9.9,73,34,3.41,14.15
WALGETT AIRPORT,09/05/2014,3.6,0.0, ,23.8,10.6,75,37,3.93,13.61
WALGETT AIRPORT,10/05/2014,3.5,0.0, ,25.5,15.4,92,42,4.83,10.29
WALGETT AIRPORT,11/05/2014,2.6,4.8, ,23.3,13.3,96,55,2.96,14.40
WALGETT AIRPORT,12/05/2014,3.0,0.2, ,25.2,5.3,98,42,2.84,14.55
WALGETT AIRPORT,13/05/2014,3.7,0.0, ,25.5,10.0,84,32,3.57,14.61
WALGETT AIRPORT,14/05/2014,3.2,0.0, ,25.0,5.9,92,26,2.64,14.70
WALGETT AIRPORT,15/05/2014,3.3,0.0, ,25.8,7.2,84,34,3.02,13.78
WALGETT AIRPORT,16/05/2014,3.5,0.0, ,25.9,9.8,70,27,2.97,12.34
WALGETT AIRPORT,17/05/2014,3.2,0.0, ,25.0,7.0,86,31,2.90,14.14
WALGETT AIRPORT,18/05/2014,3.6,0.0, ,24.4,11.8,69,32,3.62,11.21
WALGETT AIRPORT,19/05/2014,3.4,0.0, ,25.3,10.4,80,33,3.25,12.79
WALGETT AIRPORT,20/05/2014,2.3,0.0, ,24.5,9.2,70,32,1.55,10.91
WALGETT AIRPORT,21/05/2014,2.2,0.0, ,26.3,5.9,78,33,1.16,13.59
WALGETT AIRPORT,22/05/2014,3.3,0.0, ,26.6,9.0,73,33,2.83,13.54
WALGETT AIRPORT,23/05/2014,3.1,0.0, ,27.0,8.1,87,29,2.38,13.22
WALGETT AIRPORT,24/05/2014,3.2,0.0, ,28.4,9.5,95,25,2.38,13.25
WALGETT AIRPORT,25/05/2014,3.6,0.0, ,29.4,15.0,68,28,2.73,13.13
WALGETT AIRPORT,26/05/2014,3.9,0.0, ,29.0,9.2,71,28,3.16,13.26
WALGETT AIRPORT,27/05/2014,5.7,0.0, ,28.4,13.9,62,22,5.68,12.40
WALGETT AIRPORT,28/05/2014,2.9,1.0, ,25.2,10.8,96,32,2.81,12.88
WALGETT AIRPORT,29/05/2014,2.8,0.0, ,23.7,5.2,92,30,2.62,13.45
WALGETT AIRPORT,30/05/2014,2.7,0.0, ,24.6,4.8,77,46,2.88,11.96
WALGETT AIRPORT,31/05/2014,2.3,0.0, ,21.7,12.6,80,60,4.50,5.18
Totals:,,98.6,9.8, ,,,,,, 
