'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for WHITE CLIFFS New South Wales for November 2011,,,,,,,,,,
Issued at 22:35 GMT on Thursday 01 December 2011,,,,,,,,,,
© Copyright Commonwealth of Australia 2011 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
WHITE CLIFFS,01/11/2011,8.2,0.0, ,29.5,14.3,45,12,4.90,25.52
WHITE CLIFFS,02/11/2011,9.2,0.0, ,30.7,13.8,46,10,5.50,29.42
WHITE CLIFFS,03/11/2011,8.2,0.0, ,29.7,14.2,59,23,5.64,28.95
WHITE CLIFFS,04/11/2011,7.7,0.0, ,31.1,14.4,52,19,3.74,29.47
WHITE CLIFFS,05/11/2011,10.9,0.0, ,37.0,16.9,46,11,5.47,31.24
WHITE CLIFFS,06/11/2011,9.0,0.0, ,35.3,20.7,62,22,4.92,27.95
WHITE CLIFFS,07/11/2011,9.7,0.0, ,38.7,23.0,73,19,4.69,28.93
WHITE CLIFFS,08/11/2011,5.8,0.0, ,28.9,25.0,86,30,5.40,14.42
WHITE CLIFFS,09/11/2011,7.9,3.4, ,33.7,20.8,89,30,6.37,23.08
WHITE CLIFFS,10/11/2011,8.2,2.6, ,28.7,16.3,90,24,6.58,32.27
WHITE CLIFFS,11/11/2011,9.3,0.0, ,31.8,16.3,53,14,5.04,32.42
WHITE CLIFFS,12/11/2011,10.1,0.0, ,33.9,17.1,50,12,5.28,32.27
WHITE CLIFFS,13/11/2011,8.8,0.0, ,37.4,19.8,32,12,3.43,27.10
WHITE CLIFFS,14/11/2011,11.1,0.0, ,36.5,20.3,40,11,5.42,32.44
WHITE CLIFFS,15/11/2011,10.1,0.0, ,37.9,19.5,34,10,4.05,31.97
WHITE CLIFFS,16/11/2011,4.8,0.6, ,23.5,21.1,97,16,5.03,12.57
WHITE CLIFFS,17/11/2011,5.6,8.4, ,28.2,17.5,100,56,3.33,28.38
WHITE CLIFFS,18/11/2011,7.6,0.0, ,35.2,18.0,97,27,2.68,32.39
WHITE CLIFFS,19/11/2011,13.5,0.0, ,41.2,24.5,79,9,7.79,32.09
WHITE CLIFFS,20/11/2011,5.0,6.8, ,24.0,19.1,97,47,5.58,21.93
WHITE CLIFFS,21/11/2011,3.4,4.2, ,18.9,17.0,90,48,3.89,14.29
WHITE CLIFFS,22/11/2011,1.9,23.8, ,16.3,12.7,98,87,4.78,12.46
WHITE CLIFFS,23/11/2011,6.8,22.2, ,26.3,10.9,99,31,5.76,32.03
WHITE CLIFFS,24/11/2011,4.8,0.0, ,24.0,14.8,84,57,4.95,23.16
WHITE CLIFFS,25/11/2011,7.9,0.2, ,29.9,15.7,97,24,5.08,32.80
WHITE CLIFFS,26/11/2011,9.5,0.0, ,30.9,13.7,87,18,7.12,33.62
WHITE CLIFFS,27/11/2011,7.8,0.0, ,31.4,15.8,78,23,3.25,33.59
WHITE CLIFFS,28/11/2011,9.4,0.0, ,36.3,19.8,53,13,3.54,33.45
WHITE CLIFFS,29/11/2011,13.0,0.0, ,40.6,23.4,51,7,6.48,31.48
WHITE CLIFFS,30/11/2011,9.0,0.0, ,26.3,22.7,53,18,7.64,25.70
Totals:,,244.2,72.2, ,,,,,, 
