'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for WHITE CLIFFS New South Wales for January 2012,,,,,,,,,,
Issued at 22:33 GMT on Wednesday 01 February 2012,,,,,,,,,,
© Copyright Commonwealth of Australia 2012 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
WHITE CLIFFS,01/01/2012,10.3,0.0, ,38.1,23.2,40,15,4.13,32.32
WHITE CLIFFS,02/01/2012, ,0.0, ,39.4,22.7, , , ,32.28
WHITE CLIFFS,03/01/2012,11.9,0.0, ,40.8,28.0,31,12,5.07,30.44
WHITE CLIFFS,04/01/2012,10.9,0.0, ,39.8,27.7,57,18,5.85,25.01
WHITE CLIFFS,05/01/2012,9.5,3.0, ,37.1,25.8,73,22,5.53,25.98
WHITE CLIFFS,06/01/2012,11.0,5.0, ,36.6,22.5,26,11,4.91,32.16
WHITE CLIFFS,07/01/2012,10.6,0.0, ,41.5,22.4,29,10,4.92,18.60
WHITE CLIFFS,08/01/2012,10.0,0.0, ,37.7,25.6,57,26,6.89,20.06
WHITE CLIFFS,09/01/2012,9.3,0.0, ,29.9,18.7,51,18,5.90,31.22
WHITE CLIFFS,10/01/2012,9.8,0.0, ,31.8,19.5,41,17,5.58,31.36
WHITE CLIFFS,11/01/2012,9.9,0.0, ,30.4,19.0,46,24,7.18,31.68
WHITE CLIFFS,12/01/2012,9.5,0.0, ,28.7,15.1,39,14,6.24,32.23
WHITE CLIFFS,13/01/2012,7.6,0.0, ,29.4,16.3,38,22,5.07,19.84
WHITE CLIFFS,14/01/2012,10.6,0.0, ,32.4,20.3,38,13,6.22,31.44
WHITE CLIFFS,15/01/2012,9.5,0.0, ,34.8,17.5,35,17,4.35,31.24
WHITE CLIFFS,16/01/2012,9.9,0.0, ,34.5,20.6,59,22,5.82,30.45
WHITE CLIFFS,17/01/2012,9.5,0.0, ,35.4,22.5,61,23,5.18,29.32
WHITE CLIFFS,18/01/2012,10.6,0.0, ,40.0,26.0,46,17,4.70,28.96
WHITE CLIFFS,19/01/2012,10.3,0.0, ,41.3,26.3,63,14,4.79,25.37
WHITE CLIFFS,20/01/2012,9.7,1.4, ,40.4,21.5,77,15,4.79,23.73
WHITE CLIFFS,21/01/2012,8.9,0.0, ,34.3,26.0,54,31,5.55,24.43
WHITE CLIFFS,22/01/2012,10.0,0.2, ,36.3,21.8,70,24,6.70,26.18
WHITE CLIFFS,23/01/2012,9.6,0.0, ,33.3,22.9,61,29,6.95,27.77
WHITE CLIFFS,24/01/2012,4.9,0.0, ,26.3,22.1,76,42,5.23,12.21
WHITE CLIFFS,25/01/2012,3.9,1.4, ,28.3,19.5,97,62,6.09,13.12
WHITE CLIFFS,26/01/2012,7.4,7.0, ,32.8,19.6,89,37,5.40,25.95
WHITE CLIFFS,27/01/2012,8.4,0.0, ,33.9,22.8,80,41,8.23,23.79
WHITE CLIFFS,28/01/2012,2.5,4.0, ,25.6,21.3,99,77,7.35,8.97
WHITE CLIFFS,29/01/2012,1.5,20.4, ,25.4,20.4,99,88,5.23,5.09
WHITE CLIFFS,30/01/2012,8.5,7.6, ,36.5,20.6,100,34,6.18,27.19
WHITE CLIFFS,31/01/2012,8.5,0.2, ,29.0,17.0,71,32,8.08,30.62
Totals:,,264.5,50.2, ,,,,,, 
