'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for WILCANNIA AERODROME New South Wales for February 2009,,,,,,,,,,
Issued at 04:34 GMT on Thursday 22 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2009 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
WILCANNIA AERODROME,01/02/2009,9.7,0.0, ,42.8,24.4,34,15,3.22,29.62
WILCANNIA AERODROME,02/02/2009,11.2,0.0, ,45.1,27.3,29,11,4.02,29.69
WILCANNIA AERODROME,03/02/2009,9.3,0.2, ,43.1,26.0,49,17,3.30,27.04
WILCANNIA AERODROME,04/02/2009,11.5,0.0, ,44.8,27.7,38,10,4.20,31.30
WILCANNIA AERODROME,05/02/2009,11.3,0.0, ,44.8,25.5,29,11,3.92,31.68
WILCANNIA AERODROME,06/02/2009,11.9,0.0, ,45.6,26.2,28,11,4.31,31.42
WILCANNIA AERODROME,07/02/2009,14.2,0.0, ,45.7,32.0,28,8,6.15,30.20
WILCANNIA AERODROME,08/02/2009,12.8,0.0, ,44.7,26.9,28,9,5.19,30.60
WILCANNIA AERODROME,09/02/2009,10.9,0.0, ,31.4,23.3,33,13,7.51,25.27
WILCANNIA AERODROME,10/02/2009,9.9,0.0, ,27.4,17.6,35,16,8.53,26.72
WILCANNIA AERODROME,11/02/2009,9.1,0.0, ,26.0,15.0,39,19,7.88,30.45
WILCANNIA AERODROME,12/02/2009,8.3,0.0, ,28.4,14.7,49,21,5.68,29.80
WILCANNIA AERODROME,13/02/2009,4.4,0.0, ,20.3,16.0,94,33,7.39,12.57
WILCANNIA AERODROME,14/02/2009,4.7,33.4, ,24.8,14.9,90,56,5.49,21.60
WILCANNIA AERODROME,15/02/2009,6.9,0.8, ,29.4,16.2,91,29,4.64,28.17
WILCANNIA AERODROME,16/02/2009,4.4,5.6, ,25.3,17.6,94,58,5.04,20.39
WILCANNIA AERODROME,17/02/2009, ,1.0, ,27.1,18.2,85,45,5.62, 
WILCANNIA AERODROME,18/02/2009, ,0.0, ,31.5,18.7,84,32,3.45, 
WILCANNIA AERODROME,19/02/2009,6.1,0.0, ,32.7,19.1,81,29,2.29,26.32
WILCANNIA AERODROME,20/02/2009,8.3,0.0, ,35.4,20.4,64,22,4.29,26.84
WILCANNIA AERODROME,21/02/2009,9.3,0.0, ,31.4,20.6,44,20,5.64,29.73
WILCANNIA AERODROME,22/02/2009,7.9,0.0, ,34.9,15.3,56,14,2.99,30.14
WILCANNIA AERODROME,23/02/2009,9.7,0.0, ,39.5,19.3,43,12,4.12,27.94
WILCANNIA AERODROME,24/02/2009,9.6,0.0, ,35.1,22.3,42,19,5.17,28.69
WILCANNIA AERODROME,25/02/2009,9.3,0.0, ,35.4,18.8,31,13,4.32,28.89
WILCANNIA AERODROME,26/02/2009,8.4,0.0, ,36.8,14.3,37,6,3.09,29.35
WILCANNIA AERODROME,27/02/2009,9.1,0.0, ,39.3,15.8,31,10,3.42,29.00
WILCANNIA AERODROME,28/02/2009,9.4,0.0, ,36.0,22.9,36,14,4.62,26.64
Totals:,,237.6,41, ,,,,,, 
