'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for WILCANNIA AERODROME New South Wales for March 2014,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 April 2014,,,,,,,,,,
© Copyright Commonwealth of Australia 2014 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
WILCANNIA AERODROME,01/03/2014,3.7,1.2, ,26.1,16.1,89,56,5.09,11.46
WILCANNIA AERODROME,02/03/2014,5.4,0.2, ,30.3,16.2,93,38,4.78,16.84
WILCANNIA AERODROME,03/03/2014,7.3,0.0, ,34.8,18.4,84,32,5.23,20.93
WILCANNIA AERODROME,04/03/2014,5.8,0.0, ,31.1,21.4,81,44,5.41,16.91
WILCANNIA AERODROME,05/03/2014,6.2,0.0, ,34.1,19.4,94,30,3.85,20.40
WILCANNIA AERODROME,06/03/2014,6.9,5.0, ,34.4,19.6,92,22,3.69,24.45
WILCANNIA AERODROME,07/03/2014,7.2,0.2, ,35.8,17.5,81,19,3.66,22.32
WILCANNIA AERODROME,08/03/2014,7.6,0.0, ,36.2,18.9,54,15,3.60,21.96
WILCANNIA AERODROME,09/03/2014,8.2,0.0, ,37.1,18.1,58,14,4.13,22.44
WILCANNIA AERODROME,10/03/2014,8.1,0.0, ,38.0,18.1,59,14,3.85,22.27
WILCANNIA AERODROME,11/03/2014,7.6,0.0, ,37.5,17.3,55,15,3.35,23.70
WILCANNIA AERODROME,12/03/2014,8.1,0.0, ,33.8,24.7,46,29,5.38,20.39
WILCANNIA AERODROME,13/03/2014,7.3,0.0, ,33.3,14.0,62,14,3.82,24.09
WILCANNIA AERODROME,14/03/2014,6.7,0.0, ,34.4,13.3,52,13,2.91,23.58
WILCANNIA AERODROME,15/03/2014,8.8,0.0, ,36.3,21.6,57,16,6.43,11.29
WILCANNIA AERODROME,16/03/2014,6.3,0.4, ,27.6,16.9,59,25,4.81,19.63
WILCANNIA AERODROME,17/03/2014,5.4,0.0, ,30.0,10.6,61,18,2.42,22.67
WILCANNIA AERODROME,18/03/2014,6.7,0.0, ,34.6,14.5,46,15,3.09,22.07
WILCANNIA AERODROME,19/03/2014,7.9,0.0, ,34.5,20.2,52,21,4.74,21.59
WILCANNIA AERODROME,20/03/2014,7.3,0.0, ,35.6,17.2,66,20,4.13,20.71
WILCANNIA AERODROME,21/03/2014,6.4,0.2, ,34.0,17.3,88,23,3.78,21.11
WILCANNIA AERODROME,22/03/2014,6.7,0.2, ,30.0,16.8,54,27,4.81,21.29
WILCANNIA AERODROME,23/03/2014,5.9,0.0, ,28.5,14.4,64,19,4.61,12.90
WILCANNIA AERODROME,24/03/2014,5.5,0.2, ,24.3,8.9,74,24,4.87,21.87
WILCANNIA AERODROME,25/03/2014,5.3,0.0, ,27.6,10.2,66,16,3.03,21.15
WILCANNIA AERODROME,26/03/2014,5.1,0.0, ,30.5,13.9,89,34,4.55,13.49
WILCANNIA AERODROME,27/03/2014,6.2,18.4, ,32.1,17.0,94,31,5.26,19.01
WILCANNIA AERODROME,28/03/2014,4.2,13.4, ,28.0,16.9,95,42,2.72,19.42
WILCANNIA AERODROME,29/03/2014,3.5,0.2, ,29.0,17.1,92,40,2.12,13.98
WILCANNIA AERODROME,30/03/2014,5.3,0.0, ,31.9,16.2,87,22,2.85,20.22
WILCANNIA AERODROME,31/03/2014,6.1,0.0, ,33.7,16.1,79,20,3.53,20.07
Totals:,,198.7,39.6, ,,,,,, 
