'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for WILCANNIA AERODROME New South Wales for September 2014,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 October 2014,,,,,,,,,,
© Copyright Commonwealth of Australia 2014 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
WILCANNIA AERODROME,01/09/2014,6.1,0.0, ,26.9,9.4,93,14,6.17,14.36
WILCANNIA AERODROME,02/09/2014,3.0,4.6, ,16.3,8.1,95,43,5.47,15.38
WILCANNIA AERODROME,03/09/2014,3.1,0.0, ,17.1,2.2,94,32,3.49,18.37
WILCANNIA AERODROME,04/09/2014,2.9,0.2, ,19.8,6.1,85,29,2.38,13.09
WILCANNIA AERODROME,05/09/2014,4.1,0.0, ,21.8,5.1,85,22,3.64,18.17
WILCANNIA AERODROME,06/09/2014,4.4,0.0, ,22.6,6.1,70,24,3.93,16.20
WILCANNIA AERODROME,07/09/2014,4.6,0.8, ,22.7,10.7,87,36,5.83,18.87
WILCANNIA AERODROME,08/09/2014,5.2,0.6, ,24.9,8.0,95,32,6.37,18.87
WILCANNIA AERODROME,09/09/2014,8.3,0.0, ,31.0,16.6,67,18,8.30,13.86
WILCANNIA AERODROME,10/09/2014,4.6,0.0, ,22.4,7.6,82,25,4.35,18.97
WILCANNIA AERODROME,11/09/2014,4.6,0.0, ,23.7,7.0,78,31,4.07,19.80
WILCANNIA AERODROME,12/09/2014,4.3,0.0, ,22.6,5.7,85,27,3.67,19.99
WILCANNIA AERODROME,13/09/2014,4.4,0.0, ,23.6,4.1,76,20,2.87,20.72
WILCANNIA AERODROME,14/09/2014,4.8,0.0, ,26.6,4.2,72,14,2.72,20.77
WILCANNIA AERODROME,15/09/2014,8.3,0.0, ,30.3,8.6,53,12,6.80,16.51
WILCANNIA AERODROME,16/09/2014, ,0.0, , ,11.3,72,31,5.33,17.95
WILCANNIA AERODROME,17/09/2014, , , ,20.7, ,69,23,4.64,20.05
WILCANNIA AERODROME,18/09/2014,4.3,0.0, ,20.2,4.5,75,28,3.93,21.52
WILCANNIA AERODROME,19/09/2014,4.5,0.0, ,21.1,9.5,52,24,3.37,19.90
WILCANNIA AERODROME,20/09/2014,5.1,0.0, ,22.8,3.2,62,17,3.86,22.18
WILCANNIA AERODROME,21/09/2014,6.0,0.0, ,24.8,7.0,63,14,4.68,22.26
WILCANNIA AERODROME,22/09/2014,6.1,0.0, ,26.4,6.0,54,23,4.72,21.86
WILCANNIA AERODROME,23/09/2014,6.3,0.0, ,27.3,9.8,70,24,5.81,18.07
WILCANNIA AERODROME,24/09/2014,2.3,13.6, ,18.4,15.1,95,43,3.76,4.88
WILCANNIA AERODROME,25/09/2014,3.7,15.4, ,21.4,12.0,94,49,5.00,16.83
WILCANNIA AERODROME,26/09/2014,3.9,0.4, ,21.2,8.3,95,39,3.51,21.24
WILCANNIA AERODROME,27/09/2014,4.3,0.0, ,25.3,7.3,92,30,2.38,21.94
WILCANNIA AERODROME,28/09/2014,7.0,0.0, ,30.0,10.8,87,15,5.11,21.96
WILCANNIA AERODROME,29/09/2014,5.8,0.0, ,29.7,14.8,60,20,3.13,21.40
WILCANNIA AERODROME,30/09/2014,7.5,0.0, ,31.8,16.3,71,14,4.83,21.92
Totals:,,139.5,35.6, ,,,,,, 
