'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for WILCANNIA AERODROME New South Wales for March 2017,,,,,,,,,,
Issued at 06:30 GMT on Saturday 01 April 2017,,,,,,,,,,
© Copyright Commonwealth of Australia 2017 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
WILCANNIA AERODROME,01/03/2017,8.0,0.0, ,37.8,17.8,46,16,3.56,22.38
WILCANNIA AERODROME,02/03/2017,8.5,0.0, ,38.6,18.9,43,15,3.90,22.45
WILCANNIA AERODROME,03/03/2017,9.3,0.0, ,38.7,17.6,31,12,4.25,24.07
WILCANNIA AERODROME,04/03/2017,8.5,0.0, ,37.0,22.1,59,18,4.51,23.15
WILCANNIA AERODROME,05/03/2017,6.6,0.0, ,36.5,18.3,78,19,2.83,21.99
WILCANNIA AERODROME,06/03/2017,7.8,0.0, ,37.7,20.9,43,15,3.51,21.27
WILCANNIA AERODROME,07/03/2017,6.1,0.0, ,32.5,22.9,86,22,5.19,11.10
WILCANNIA AERODROME,08/03/2017,6.6,4.0, ,33.8,14.5,93,22,3.51,23.36
WILCANNIA AERODROME,09/03/2017,7.5,0.0, ,33.4,13.5,60,14,3.95,23.59
WILCANNIA AERODROME,10/03/2017,7.6,0.0, ,35.3,13.0,49,11,3.51,23.35
WILCANNIA AERODROME,11/03/2017,7.9,0.0, ,36.8,15.7,40,11,3.50,23.15
WILCANNIA AERODROME,12/03/2017,7.0,0.0, ,33.9,24.1,65,12,4.95,9.66
WILCANNIA AERODROME,13/03/2017,6.3,0.0, ,30.0,12.5,74,24,4.28,21.55
WILCANNIA AERODROME,14/03/2017,6.9,0.0, ,32.8,14.3,67,25,4.11,22.50
WILCANNIA AERODROME,15/03/2017,6.9,0.0, ,34.4,17.7,66,26,4.08,20.95
WILCANNIA AERODROME,16/03/2017,7.6,0.0, ,37.2,21.0,59,21,4.28,18.47
WILCANNIA AERODROME,17/03/2017,8.7,0.0, ,34.3,18.8,40,15,5.22,21.83
WILCANNIA AERODROME,18/03/2017,7.0,0.0, ,34.0,14.3,48,22,3.90,20.20
WILCANNIA AERODROME,19/03/2017,5.8,0.0, ,31.8,19.5,70,37,4.23,17.30
WILCANNIA AERODROME,20/03/2017,5.5,0.0, ,32.4,18.9,83,36,4.03,17.20
WILCANNIA AERODROME,21/03/2017,6.1,0.0, ,37.0,18.6,94,24,2.93,20.51
WILCANNIA AERODROME,22/03/2017,8.6,0.2, ,39.3,23.5,61,14,4.50,20.69
WILCANNIA AERODROME,23/03/2017,6.7,0.0, ,35.9,20.0,75,22,3.62,20.75
WILCANNIA AERODROME,24/03/2017,6.8,0.0, ,38.2,21.8,80,16,3.37,19.28
WILCANNIA AERODROME,25/03/2017,6.9,0.0, ,39.0,22.0,56,15,3.09,19.45
WILCANNIA AERODROME,26/03/2017,7.0,0.0, ,40.4,22.2,54,16,2.90,20.16
WILCANNIA AERODROME,27/03/2017,11.7,0.0, ,44.0,24.0,51,13,6.56,18.68
WILCANNIA AERODROME,28/03/2017,7.5,0.0, ,32.0,18.0,49,14,4.89,19.63
WILCANNIA AERODROME,29/03/2017,7.2,0.0, ,35.8,11.6,47,8,3.52,19.44
WILCANNIA AERODROME,30/03/2017,6.5,0.0, ,22.7,13.6,61,21,7.88,19.11
WILCANNIA AERODROME,31/03/2017,5.6,0.0, ,23.5,7.0,57,17,5.03,19.03
Totals:,,226.7,4.2, ,,,,,, 
