'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for YAMBA PILOT STATION New South Wales for March 2009,,,,,,,,,,
Issued at 04:34 GMT on Thursday 22 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2009 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
YAMBA PILOT STATION,01/03/2009,6.4,0.0, ,30.5,19.9,87,47,4.31,28.27
YAMBA PILOT STATION,02/03/2009,3.7,0.0, ,26.8,21.8,86,67,4.16,14.40
YAMBA PILOT STATION,03/03/2009,4.1,0.4, ,26.9,22.1,89,70,3.57,19.40
YAMBA PILOT STATION,04/03/2009,5.2,0.0, ,30.3,22.7,91,62,5.14,22.33
YAMBA PILOT STATION,05/03/2009,6.6,0.0, ,25.0,19.6,80,29,5.25,28.82
YAMBA PILOT STATION,06/03/2009,5.4,0.0, ,26.6,16.0,79,52,3.75,27.45
YAMBA PILOT STATION,07/03/2009,5.9,0.0, ,28.6,20.0,80,55,4.70,26.99
YAMBA PILOT STATION,08/03/2009,5.2,0.0, ,28.2,20.8,87,59,2.90,26.10
YAMBA PILOT STATION,09/03/2009,5.2,0.0, ,28.2,23.3,80,59,4.98,21.13
YAMBA PILOT STATION,10/03/2009,4.7,1.0, ,27.2,21.8,89,64,8.25,18.02
YAMBA PILOT STATION,11/03/2009,4.1,5.8, ,25.2,20.5,90,62,8.71,13.96
YAMBA PILOT STATION,12/03/2009,5.6,12.0, ,26.6,20.8,69,53,5.14,22.37
YAMBA PILOT STATION,13/03/2009,4.9,0.0, ,27.5,19.7,84,55,2.93,23.86
YAMBA PILOT STATION,14/03/2009,4.5,3.0, ,27.0,18.9,91,62,3.30,23.05
YAMBA PILOT STATION,15/03/2009,5.0,0.0, ,29.1,20.0,89,55,4.18,22.22
YAMBA PILOT STATION,16/03/2009,4.4,15.0, ,29.2,18.6,90,49,3.71,16.66
YAMBA PILOT STATION,17/03/2009,4.4,5.0, ,25.7,16.3,95,66,4.55,25.30
YAMBA PILOT STATION,18/03/2009,4.5,0.0, ,26.5,19.3,90,64,4.42,22.59
YAMBA PILOT STATION,19/03/2009,3.5,0.0, ,26.8,19.3,89,63,2.85,15.45
YAMBA PILOT STATION,20/03/2009, ,0.0, ,27.1,18.9,93,59,3.90, 
YAMBA PILOT STATION,21/03/2009, ,18.6, ,26.3,19.8,92,62,5.04, 
YAMBA PILOT STATION,22/03/2009, ,9.2, ,26.0,18.1,91,67,4.68, 
YAMBA PILOT STATION,23/03/2009,4.7,2.8, ,26.1,18.8,91,57,3.58,24.70
YAMBA PILOT STATION,24/03/2009,4.7,0.0, ,26.3,17.7,90,52,3.30,24.70
YAMBA PILOT STATION,25/03/2009, ,0.0, ,26.2, , , , ,22.19
YAMBA PILOT STATION,26/03/2009,4.3,0.0, ,26.3,16.3,89,58,2.98,23.86
YAMBA PILOT STATION,27/03/2009, ,0.0, ,26.9,17.6,89,55,4.95, 
YAMBA PILOT STATION,28/03/2009, ,22.2, ,25.5,18.7,91,56,7.80, 
YAMBA PILOT STATION,29/03/2009, ,1.0, ,25.7,19.8,79,61,7.78, 
YAMBA PILOT STATION,30/03/2009,2.8,1.0, ,23.9,21.9,94,69,9.49,6.35
YAMBA PILOT STATION,31/03/2009,3.2,145.6, ,27.4,19.2,100,74,9.13,13.91
Totals:,,113,242.6, ,,,,,, 
