'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for YAMBA PILOT STATION New South Wales for November 2009,,,,,,,,,,
Issued at 04:34 GMT on Thursday 22 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2009 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
YAMBA PILOT STATION,01/11/2009,4.8,1.6, ,24.2,18.0,90,61,2.77,26.66
YAMBA PILOT STATION,02/11/2009,5.8,0.0, ,24.5,16.6,85,50,4.42,30.86
YAMBA PILOT STATION,03/11/2009,5.6,0.0, ,27.0,16.2,89,63,4.71,30.46
YAMBA PILOT STATION,04/11/2009,5.6,0.0, ,27.2,18.5,95,59,4.18,29.17
YAMBA PILOT STATION,05/11/2009,3.6,0.0, ,25.0,20.0,92,77,5.11,17.84
YAMBA PILOT STATION,06/11/2009,2.8,1.2, ,23.8,19.1,97,79,3.08,14.20
YAMBA PILOT STATION,07/11/2009,4.2,15.2, ,24.1,18.9,99,69,3.59,23.18
YAMBA PILOT STATION,08/11/2009,3.5,0.8, ,24.5,20.9,99,75,3.65,18.47
YAMBA PILOT STATION,09/11/2009,5.0,25.8, ,23.8,19.4,91,64,5.58,26.87
YAMBA PILOT STATION,10/11/2009,5.4,0.2, ,23.9,16.4,88,55,3.61,30.63
YAMBA PILOT STATION,11/11/2009,5.7,0.0, ,24.7,16.7,87,51,2.86,31.46
YAMBA PILOT STATION,12/11/2009, ,0.0, ,25.0,17.2,85,59,4.15, 
YAMBA PILOT STATION,13/11/2009,3.7,0.0, ,24.8,17.3,94,68,2.95,18.64
YAMBA PILOT STATION,14/11/2009,5.1,0.4, ,24.7,18.0,93,70,4.12,29.48
YAMBA PILOT STATION,15/11/2009,5.7,0.0, ,26.5,18.4,91,65,3.85,31.51
YAMBA PILOT STATION,16/11/2009, ,0.0, ,26.9,18.7,99,74,4.67, 
YAMBA PILOT STATION,17/11/2009, ,0.0, ,28.5,20.6,91,64,6.61, 
YAMBA PILOT STATION,18/11/2009, ,0.6, ,24.9,19.2, , , , 
YAMBA PILOT STATION,19/11/2009, ,0.0, ,26.2, , , , , 
YAMBA PILOT STATION,20/11/2009, ,0.0, ,26.9,21.8,95,74,4.95, 
YAMBA PILOT STATION,21/11/2009, ,0.0, ,27.6,21.7,97,71,6.55, 
YAMBA PILOT STATION,22/11/2009, ,0.0, ,28.2,21.8,94,65,7.07, 
YAMBA PILOT STATION,23/11/2009, ,0.0, ,25.9,20.9,95,72,6.67, 
YAMBA PILOT STATION,24/11/2009, ,0.8, ,26.2,19.8,90,72,4.41, 
YAMBA PILOT STATION,25/11/2009, ,0.0, ,26.1,19.5,93,65,3.25, 
YAMBA PILOT STATION,26/11/2009, ,0.0, ,26.6,19.5,93,69,4.81, 
YAMBA PILOT STATION,27/11/2009, ,0.0, ,27.3,20.1,91,67,5.06, 
YAMBA PILOT STATION,28/11/2009,6.0,0.0, ,29.0,20.9,91,57,4.15,27.91
YAMBA PILOT STATION,29/11/2009, ,28.6, ,33.3, ,98,20,3.65,30.26
YAMBA PILOT STATION,30/11/2009,6.6,0.0, ,25.8,19.8,82,47,5.03,31.91
Totals:,,79.1,75.2, ,,,,,, 
