'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for YANCO AGRICULTURAL INSTITUTE New South Wales for September 2009,,,,,,,,,,
Issued at 04:34 GMT on Thursday 22 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2009 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
YANCO AGRICULTURAL INSTITUTE,01/09/2009,2.5,0.2, ,18.3,5.7,100,43,2.06,18.20
YANCO AGRICULTURAL INSTITUTE,02/09/2009,4.1,0.0, ,21.2,5.8,82,32,4.57,19.09
YANCO AGRICULTURAL INSTITUTE,03/09/2009,5.1,0.0, ,25.6,10.7,100,22,5.65,16.75
YANCO AGRICULTURAL INSTITUTE,04/09/2009,3.1,1.6, ,20.1,9.2,100,31,2.52,17.82
YANCO AGRICULTURAL INSTITUTE,05/09/2009,2.6,0.0, ,17.9,3.9,99,32,1.65,18.45
YANCO AGRICULTURAL INSTITUTE,06/09/2009,4.6,0.0, ,21.1,5.2,76,28,5.38,19.27
YANCO AGRICULTURAL INSTITUTE,07/09/2009,4.1,0.0, ,20.2,11.9,69,36,4.89,16.71
YANCO AGRICULTURAL INSTITUTE,08/09/2009,2.9,0.0, ,17.1,6.6,99,45,5.56,14.24
YANCO AGRICULTURAL INSTITUTE,09/09/2009,2.9,0.0, ,17.7,4.2,98,41,3.39,17.65
YANCO AGRICULTURAL INSTITUTE,10/09/2009,2.7,0.0, ,18.1,2.7,91,32,1.28,20.61
YANCO AGRICULTURAL INSTITUTE,11/09/2009,5.5,0.0, ,24.4,5.4,71,21,5.02,21.19
YANCO AGRICULTURAL INSTITUTE,12/09/2009,9.7,0.0, ,31.1,14.9,34,10,7.83,21.24
YANCO AGRICULTURAL INSTITUTE,13/09/2009,10.0,0.0, ,31.4,16.4,48,7,8.41,20.34
YANCO AGRICULTURAL INSTITUTE,14/09/2009,4.2,0.0, ,19.7,6.3,76,16,3.30,22.26
YANCO AGRICULTURAL INSTITUTE,15/09/2009,3.8,0.0, ,20.4,4.6,58,21,2.40,22.11
YANCO AGRICULTURAL INSTITUTE,16/09/2009,4.7,0.0, ,26.2,7.1,66,9,2.46,22.20
YANCO AGRICULTURAL INSTITUTE,17/09/2009,3.9,0.0, ,22.7,12.3,100,18,4.68,7.38
YANCO AGRICULTURAL INSTITUTE,18/09/2009,3.5,7.6, ,20.8,7.9,100,32,1.98,22.54
YANCO AGRICULTURAL INSTITUTE,19/09/2009,3.8,0.0, ,25.0,7.8,78,32,1.70,21.79
YANCO AGRICULTURAL INSTITUTE,20/09/2009,4.2,0.0, ,23.0,12.2,78,32,2.94,20.75
YANCO AGRICULTURAL INSTITUTE,21/09/2009,5.1,0.4, ,24.2,6.9,83,27,4.87,19.93
YANCO AGRICULTURAL INSTITUTE,22/09/2009,5.4,2.4, ,24.4,13.5,82,32,5.94,20.39
YANCO AGRICULTURAL INSTITUTE,23/09/2009,3.4,2.4, ,18.0,9.8,100,49,8.85,14.85
YANCO AGRICULTURAL INSTITUTE,24/09/2009,4.1,0.2, ,20.4,8.0,87,33,4.04,20.57
YANCO AGRICULTURAL INSTITUTE,25/09/2009,8.0,0.0, ,26.5,10.1,65,17,9.15,19.40
YANCO AGRICULTURAL INSTITUTE,26/09/2009,3.5,0.0, ,14.7,7.2,83,48,8.03,18.34
YANCO AGRICULTURAL INSTITUTE,27/09/2009,3.5,1.4, ,14.0,4.2,89,40,8.35,19.76
YANCO AGRICULTURAL INSTITUTE,28/09/2009,4.0,0.0, ,18.6,4.6,91,43,5.98,22.29
YANCO AGRICULTURAL INSTITUTE,29/09/2009,3.9,0.0, ,20.3,3.5,98,28,2.41,24.85
YANCO AGRICULTURAL INSTITUTE,30/09/2009,6.2,0.2, ,26.0,8.5,61,15,4.27,23.64
Totals:,,135,16.4, ,,,,,, 
