'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for YANCO AGRICULTURAL INSTITUTE New South Wales for January 2010,,,,,,,,,,
Issued at 04:34 GMT on Thursday 22 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2010 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
YANCO AGRICULTURAL INSTITUTE,01/01/2010,6.7,0.0, ,31.0,21.9,76,46,4.95,23.81
YANCO AGRICULTURAL INSTITUTE,02/01/2010,7.0,0.2, ,29.3,20.4,97,35,5.79,27.85
YANCO AGRICULTURAL INSTITUTE,03/01/2010,8.7,0.0, ,28.7,12.5,69,23,6.04,34.40
YANCO AGRICULTURAL INSTITUTE,04/01/2010,8.2,0.0, ,32.7,12.8,71,19,3.16,34.58
YANCO AGRICULTURAL INSTITUTE,05/01/2010,9.6,0.0, ,36.7,18.8,57,11,3.77,32.85
YANCO AGRICULTURAL INSTITUTE,06/01/2010,10.1,0.0, ,34.6,18.0,78,6,4.80,34.38
YANCO AGRICULTURAL INSTITUTE,07/01/2010,8.3,0.0, ,33.8,13.9,50,9,2.53,34.93
YANCO AGRICULTURAL INSTITUTE,08/01/2010,9.9,0.0, ,37.4,19.3,70,19,4.49,32.97
YANCO AGRICULTURAL INSTITUTE,09/01/2010,10.4,0.0, ,39.9,24.1,55,18,4.16,32.91
YANCO AGRICULTURAL INSTITUTE,10/01/2010,11.9,0.0, ,43.3,25.7,43,9,4.42,33.13
YANCO AGRICULTURAL INSTITUTE,11/01/2010,13.0,0.0, ,43.4,23.8,55,11,5.62,33.55
YANCO AGRICULTURAL INSTITUTE,12/01/2010,14.9,0.0, ,42.4,31.2,43,11,7.79,31.99
YANCO AGRICULTURAL INSTITUTE,13/01/2010,8.5,0.0, ,30.0,23.6,63,33,7.03,25.31
YANCO AGRICULTURAL INSTITUTE,14/01/2010,8.2,0.0, ,32.7,12.4,69,13,3.14,33.85
YANCO AGRICULTURAL INSTITUTE,15/01/2010,9.9,0.0, ,37.4,18.1,72,14,4.34,32.69
YANCO AGRICULTURAL INSTITUTE,16/01/2010,11.4,0.0, ,38.0,21.8,54,8,5.36,33.05
YANCO AGRICULTURAL INSTITUTE,17/01/2010,8.9,0.0, ,26.5,17.1,62,21,8.07,31.54
YANCO AGRICULTURAL INSTITUTE,18/01/2010,8.4,0.0, ,24.3,11.4,56,22,8.98,31.58
YANCO AGRICULTURAL INSTITUTE,19/01/2010,8.1,0.0, ,26.7,10.6,68,21,5.90,33.47
YANCO AGRICULTURAL INSTITUTE,20/01/2010,9.3,0.0, ,34.5,13.9,42,11,3.84,33.37
YANCO AGRICULTURAL INSTITUTE,21/01/2010,9.5,0.0, ,39.3,20.1,29,12,3.47,29.03
YANCO AGRICULTURAL INSTITUTE,22/01/2010,14.2,0.0, ,42.4,25.5,27,8,6.67,32.01
YANCO AGRICULTURAL INSTITUTE,23/01/2010,10.8,0.0, ,34.0,22.4,52,12,5.94,32.88
YANCO AGRICULTURAL INSTITUTE,24/01/2010,8.0,0.0, ,34.1,14.1,61,9,2.48,33.61
YANCO AGRICULTURAL INSTITUTE,25/01/2010,8.3,0.0, ,36.9,16.9,37,7,2.71,30.48
YANCO AGRICULTURAL INSTITUTE,26/01/2010,10.0,0.0, ,38.6,20.2,24,9,3.75,31.68
YANCO AGRICULTURAL INSTITUTE,27/01/2010,10.8,0.0, ,38.5,20.4,37,14,4.83,31.39
YANCO AGRICULTURAL INSTITUTE,28/01/2010,8.8,0.0, ,35.3,15.5,62,7,3.65,30.44
YANCO AGRICULTURAL INSTITUTE,29/01/2010,9.6,0.0, ,35.5,18.3,49,8,4.07,32.29
YANCO AGRICULTURAL INSTITUTE,30/01/2010,11.4,0.0, ,37.5,21.5,62,16,6.63,31.06
YANCO AGRICULTURAL INSTITUTE,31/01/2010,9.4,0.0, ,36.1,21.5,61,18,4.76,29.02
Totals:,,302.2,0.2, ,,,,,, 
