'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for YANCO AGRICULTURAL INSTITUTE New South Wales for October 2011,,,,,,,,,,
Issued at 22:34 GMT on Tuesday 01 November 2011,,,,,,,,,,
© Copyright Commonwealth of Australia 2011 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
YANCO AGRICULTURAL INSTITUTE,01/10/2011,1.7,4.0, ,12.6,8.6,97,67,1.75,10.21
YANCO AGRICULTURAL INSTITUTE,02/10/2011,3.7,5.8, ,21.3,6.1,97,37,2.53,21.56
YANCO AGRICULTURAL INSTITUTE,03/10/2011,3.9,3.6, ,20.3,7.4,90,36,2.94,22.05
YANCO AGRICULTURAL INSTITUTE,04/10/2011,4.4,0.2, ,21.9,6.9,85,34,3.19,24.57
YANCO AGRICULTURAL INSTITUTE,05/10/2011,2.8,0.0, ,19.5,10.2,80,52,3.40,9.96
YANCO AGRICULTURAL INSTITUTE,06/10/2011,1.4,8.2, ,15.7,11.4,98,71,2.90,5.27
YANCO AGRICULTURAL INSTITUTE,07/10/2011,2.1,2.4, ,20.2,11.8,100,67,1.25,11.15
YANCO AGRICULTURAL INSTITUTE,08/10/2011,3.8,0.2, ,23.5,9.9,98,44,2.28,20.85
YANCO AGRICULTURAL INSTITUTE,09/10/2011,3.3,0.0, ,20.4,8.8,93,45,3.41,15.00
YANCO AGRICULTURAL INSTITUTE,10/10/2011,3.5,0.0, ,18.7,5.6,90,39,2.10,22.25
YANCO AGRICULTURAL INSTITUTE,11/10/2011,4.0,0.0, ,20.0,5.0,90,36,3.12,22.90
YANCO AGRICULTURAL INSTITUTE,12/10/2011,4.4,0.0, ,21.9,5.5,92,32,2.41,26.79
YANCO AGRICULTURAL INSTITUTE,13/10/2011,5.1,0.0, ,25.6,7.4,85,27,2.98,24.95
YANCO AGRICULTURAL INSTITUTE,14/10/2011,6.1,0.0, ,27.9,13.9,76,30,4.10,24.52
YANCO AGRICULTURAL INSTITUTE,15/10/2011,6.1,0.0, ,28.3,15.7,84,33,4.22,26.07
YANCO AGRICULTURAL INSTITUTE,16/10/2011,5.8,0.0, ,21.7,8.8,80,27,5.79,27.54
YANCO AGRICULTURAL INSTITUTE,17/10/2011,5.2,0.0, ,23.9,4.9,76,14,2.41,28.29
YANCO AGRICULTURAL INSTITUTE,18/10/2011,5.9,0.0, ,26.7,7.4,82,26,3.60,27.57
YANCO AGRICULTURAL INSTITUTE,19/10/2011,6.4,0.0, ,29.6,10.9,69,19,3.04,27.69
YANCO AGRICULTURAL INSTITUTE,20/10/2011,6.9,0.0, ,31.4,13.4,63,18,3.15,27.82
YANCO AGRICULTURAL INSTITUTE,21/10/2011,7.7,0.0, ,31.5,16.9,60,22,4.50,26.73
YANCO AGRICULTURAL INSTITUTE,22/10/2011,6.7,0.0, ,32.9,15.2,70,19,3.24,23.33
YANCO AGRICULTURAL INSTITUTE,23/10/2011,7.9,0.0, ,34.5,17.8,58,17,3.57,27.28
YANCO AGRICULTURAL INSTITUTE,24/10/2011,5.8,0.0, ,32.3,20.1,90,25,5.00,10.91
YANCO AGRICULTURAL INSTITUTE,25/10/2011,4.5,3.4, ,23.0,11.4,99,34,2.95,23.47
YANCO AGRICULTURAL INSTITUTE,26/10/2011,5.9,0.0, ,25.2,11.4,75,35,5.32,23.96
YANCO AGRICULTURAL INSTITUTE,27/10/2011,6.3,0.0, ,28.2,9.8,80,30,3.97,27.50
YANCO AGRICULTURAL INSTITUTE,28/10/2011,7.6,0.0, ,32.6,15.5,71,29,5.10,23.96
YANCO AGRICULTURAL INSTITUTE,29/10/2011,5.0,0.4, ,27.8,17.4,93,39,3.65,19.91
YANCO AGRICULTURAL INSTITUTE,30/10/2011,5.9,0.0, ,23.0,9.8,88,35,6.30,28.65
YANCO AGRICULTURAL INSTITUTE,31/10/2011,6.4,0.0, ,26.0,7.0,82,23,4.11,29.49
Totals:,,156.2,28.2, ,,,,,, 
