'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for YANCO AGRICULTURAL INSTITUTE New South Wales for September 2012,,,,,,,,,,
Issued at 22:38 GMT on Monday 01 October 2012,,,,,,,,,,
© Copyright Commonwealth of Australia 2012 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
YANCO AGRICULTURAL INSTITUTE,01/09/2012,2.2,1.2, ,15.4,0.2,91,39,1.60,17.20
YANCO AGRICULTURAL INSTITUTE,02/09/2012,2.3,0.0, ,17.6,2.2,89,36,1.21,17.46
YANCO AGRICULTURAL INSTITUTE,03/09/2012,3.1,0.0, ,21.7,4.0,85,30,2.09,17.45
YANCO AGRICULTURAL INSTITUTE,04/09/2012,4.7,0.0, ,23.7,9.2,65,18,3.89,17.64
YANCO AGRICULTURAL INSTITUTE,05/09/2012,6.5,0.0, ,25.8,12.9,58,19,7.07,11.27
YANCO AGRICULTURAL INSTITUTE,06/09/2012,3.8,0.0, ,20.7,7.0,69,33,4.03,16.03
YANCO AGRICULTURAL INSTITUTE,07/09/2012,3.6,0.0, ,16.9,7.5,83,39,6.58,14.66
YANCO AGRICULTURAL INSTITUTE,08/09/2012,3.2,0.0, ,17.8,7.6,84,46,5.46,13.84
YANCO AGRICULTURAL INSTITUTE,09/09/2012,3.0,0.0, ,18.2,5.5,92,45,3.47,17.73
YANCO AGRICULTURAL INSTITUTE,10/09/2012,2.6,0.0, ,20.4,3.0,97,35,1.03,18.73
YANCO AGRICULTURAL INSTITUTE,11/09/2012,3.4,0.0, ,21.6,3.6,92,29,2.30,18.97
YANCO AGRICULTURAL INSTITUTE,12/09/2012,4.7,0.0, ,25.6,6.7,78,20,3.38,19.16
YANCO AGRICULTURAL INSTITUTE,13/09/2012,3.2,2.0, ,15.4,9.4,94,35,5.72,14.02
YANCO AGRICULTURAL INSTITUTE,14/09/2012,2.7,0.2, ,17.8,1.6,93,43,2.52,16.46
YANCO AGRICULTURAL INSTITUTE,15/09/2012,2.8,0.0, ,19.0,4.8,95,40,1.52,19.13
YANCO AGRICULTURAL INSTITUTE,16/09/2012,2.8,0.0, ,20.1,4.8,92,43,2.19,15.48
YANCO AGRICULTURAL INSTITUTE,17/09/2012,2.7,0.0, ,19.9,7.3,93,41,1.74,16.05
YANCO AGRICULTURAL INSTITUTE,18/09/2012,2.8,0.0, ,19.0,8.4,83,47,2.99,13.15
YANCO AGRICULTURAL INSTITUTE,19/09/2012,2.8,0.0, ,19.9,5.7,99,44,1.72,18.47
YANCO AGRICULTURAL INSTITUTE,20/09/2012,5.3,0.2, ,27.4,8.9,84,27,4.49,17.86
YANCO AGRICULTURAL INSTITUTE,21/09/2012,3.4,0.0, ,20.8,12.3,84,41,3.07,16.28
YANCO AGRICULTURAL INSTITUTE,22/09/2012,3.4,0.0, ,23.2,5.9,97,26,1.38,21.10
YANCO AGRICULTURAL INSTITUTE,23/09/2012,4.7,0.0, ,21.8,10.4,67,31,4.06,21.28
YANCO AGRICULTURAL INSTITUTE,24/09/2012,3.7,0.0, ,17.1,4.6,86,32,3.81,21.01
YANCO AGRICULTURAL INSTITUTE,25/09/2012,3.3,0.0, ,19.8,3.5,80,29,1.52,21.72
YANCO AGRICULTURAL INSTITUTE,26/09/2012,5.4,0.0, ,25.6,7.2,77,19,3.76,21.72
YANCO AGRICULTURAL INSTITUTE,27/09/2012,7.3,0.0, ,29.8,14.4,54,19,6.12,14.01
YANCO AGRICULTURAL INSTITUTE,28/09/2012,4.2,0.0, ,25.9,21.1,86,38,6.44,4.71
YANCO AGRICULTURAL INSTITUTE,29/09/2012,4.2,0.2, ,16.4,8.4,79,24,4.96,19.88
YANCO AGRICULTURAL INSTITUTE,30/09/2012,3.4,0.2, ,17.2,2.5,79,33,2.91,20.13
Totals:,,111.2,4, ,,,,,, 
