'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for YANCO AGRICULTURAL INSTITUTE New South Wales for June 2013,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 July 2013,,,,,,,,,,
© Copyright Commonwealth of Australia 2013 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
YANCO AGRICULTURAL INSTITUTE,01/06/2013,1.1,6.6, ,15.5,14.2,99,73,4.00,2.87
YANCO AGRICULTURAL INSTITUTE,02/06/2013,1.6,31.4, ,15.3,10.6,99,64,5.18,11.60
YANCO AGRICULTURAL INSTITUTE,03/06/2013,1.2,0.2, ,14.5,4.9,99,65,2.73,10.12
YANCO AGRICULTURAL INSTITUTE,04/06/2013,1.0,0.2, ,16.0,4.8,99,62,1.05,11.78
YANCO AGRICULTURAL INSTITUTE,05/06/2013,1.1,0.2, ,14.8,7.4,98,68,2.30,7.97
YANCO AGRICULTURAL INSTITUTE,06/06/2013,1.5,0.0, ,16.8,9.1,88,61,3.47,4.84
YANCO AGRICULTURAL INSTITUTE,07/06/2013,1.4,0.6, ,16.3,11.3,95,61,2.92,7.06
YANCO AGRICULTURAL INSTITUTE,08/06/2013,1.0,0.2, ,14.5,2.9,96,54,1.15,11.89
YANCO AGRICULTURAL INSTITUTE,09/06/2013,1.3,0.2, ,16.8,4.4,99,59,2.32,11.72
YANCO AGRICULTURAL INSTITUTE,10/06/2013,1.3,0.2, ,17.6,8.5,94,55,1.87,11.09
YANCO AGRICULTURAL INSTITUTE,11/06/2013,1.2,0.0, ,17.4,6.5,100,71,3.16,10.22
YANCO AGRICULTURAL INSTITUTE,12/06/2013,0.9,7.6, ,16.3,10.5,99,79,2.73,5.35
YANCO AGRICULTURAL INSTITUTE,13/06/2013,0.9,0.8, ,14.0,10.3,100,76,2.89,5.05
YANCO AGRICULTURAL INSTITUTE,14/06/2013,1.4,0.8, ,15.9,9.1,95,66,4.11,10.07
YANCO AGRICULTURAL INSTITUTE,15/06/2013,1.4,0.0, ,14.2,4.0,95,54,3.11,11.61
YANCO AGRICULTURAL INSTITUTE,16/06/2013,1.0,0.4, ,13.7,2.3,97,57,1.61,11.55
YANCO AGRICULTURAL INSTITUTE,17/06/2013,0.8,0.2, ,12.0,0.0,99,67,1.32,10.76
YANCO AGRICULTURAL INSTITUTE,18/06/2013,0.5,0.2, ,8.8,1.5,99,88,1.28,6.47
YANCO AGRICULTURAL INSTITUTE,19/06/2013,1.0,0.4, ,14.3,2.6,99,61,1.76,10.39
YANCO AGRICULTURAL INSTITUTE,20/06/2013,1.1,0.2, ,14.6,2.4,100,49,1.85,10.29
YANCO AGRICULTURAL INSTITUTE,21/06/2013,1.5,0.0, ,15.3,4.1,97,44,2.67,11.39
YANCO AGRICULTURAL INSTITUTE,22/06/2013,1.6,0.2, ,15.2,3.7,90,49,3.12,11.54
YANCO AGRICULTURAL INSTITUTE,23/06/2013,1.4,0.0, ,14.6,5.4,91,55,3.13,11.27
YANCO AGRICULTURAL INSTITUTE,24/06/2013,1.1,0.0, ,13.5,5.4,98,68,3.06,7.63
YANCO AGRICULTURAL INSTITUTE,25/06/2013,1.7,1.8, ,16.7,7.7,97,52,3.57,10.51
YANCO AGRICULTURAL INSTITUTE,26/06/2013,1.4,0.0, ,17.3,3.9,95,47,2.08,11.43
YANCO AGRICULTURAL INSTITUTE,27/06/2013,1.2,0.2, ,16.4,6.2,93,65,2.50,9.17
YANCO AGRICULTURAL INSTITUTE,28/06/2013, ,0.0, ,15.8,8.9,95,72,2.02, 
YANCO AGRICULTURAL INSTITUTE,29/06/2013,1.1,0.4, ,16.0,9.6,95,70,1.97,8.67
YANCO AGRICULTURAL INSTITUTE,30/06/2013,0.8,0.2, ,14.9,2.1,100,63,0.72,10.59
Totals:,,34.5,53.2, ,,,,,, 
