'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for YANCO AGRICULTURAL INSTITUTE New South Wales for October 2014,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 November 2014,,,,,,,,,,
© Copyright Commonwealth of Australia 2014 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
YANCO AGRICULTURAL INSTITUTE,01/10/2014, ,0.0, , ,6.4, , , ,21.67
YANCO AGRICULTURAL INSTITUTE,02/10/2014, , , , , , , , ,21.92
YANCO AGRICULTURAL INSTITUTE,03/10/2014, , , ,24.3, ,99,24,1.56,21.99
YANCO AGRICULTURAL INSTITUTE,04/10/2014,4.3,0.0, ,27.9,8.2,81,18,1.52,22.27
YANCO AGRICULTURAL INSTITUTE,05/10/2014,7.5,0.0, ,34.0,15.1,44,13,3.81,21.59
YANCO AGRICULTURAL INSTITUTE,06/10/2014,7.8,0.0, ,34.0,17.7,85,11,5.57,15.30
YANCO AGRICULTURAL INSTITUTE,07/10/2014,4.5,3.2, ,21.8,12.0,91,35,5.00,19.53
YANCO AGRICULTURAL INSTITUTE,08/10/2014,4.4,0.0, ,22.2,6.2,93,28,3.15,22.96
YANCO AGRICULTURAL INSTITUTE,09/10/2014,4.2,0.0, ,25.6,7.5,81,20,1.41,23.16
YANCO AGRICULTURAL INSTITUTE,10/10/2014,5.8,0.0, ,29.5,10.2,61,13,2.90,21.39
YANCO AGRICULTURAL INSTITUTE,11/10/2014, ,0.0, , ,12.9,51,9,2.86,23.52
YANCO AGRICULTURAL INSTITUTE,12/10/2014, , , ,35.2, ,93,17,5.76,16.92
YANCO AGRICULTURAL INSTITUTE,13/10/2014,5.0,6.0, ,19.7,14.6,91,20,6.79,17.50
YANCO AGRICULTURAL INSTITUTE,14/10/2014,2.1,6.2, ,14.6,6.4,99,57,5.06,8.66
YANCO AGRICULTURAL INSTITUTE,15/10/2014,4.1,1.4, ,20.2,3.7,97,35,3.20,23.61
YANCO AGRICULTURAL INSTITUTE,16/10/2014,4.4,0.0, ,21.1,4.9,89,33,3.62,23.07
YANCO AGRICULTURAL INSTITUTE,17/10/2014,4.4,0.0, ,23.2,5.5,96,22,1.65,26.82
YANCO AGRICULTURAL INSTITUTE,18/10/2014,5.5,0.0, ,26.7,8.3,85,20,2.80,26.25
YANCO AGRICULTURAL INSTITUTE,19/10/2014,6.5,0.0, ,31.9,13.2,58,14,2.65,26.16
YANCO AGRICULTURAL INSTITUTE,20/10/2014,6.8,0.0, ,33.5,12.0,79,12,3.03,23.44
YANCO AGRICULTURAL INSTITUTE,21/10/2014,7.5,0.0, ,30.5,13.0,72,24,5.16,26.11
YANCO AGRICULTURAL INSTITUTE,22/10/2014,7.2,0.0, ,33.0,13.3,76,22,3.74,26.11
YANCO AGRICULTURAL INSTITUTE,23/10/2014,8.3,0.0, ,36.6,18.6,59,15,3.84,24.84
YANCO AGRICULTURAL INSTITUTE,24/10/2014,8.3,0.0, ,35.5,21.9,46,17,4.44,21.02
YANCO AGRICULTURAL INSTITUTE,25/10/2014,7.6,0.0, ,38.6,17.0,47,11,2.72,24.30
YANCO AGRICULTURAL INSTITUTE,26/10/2014,6.5,0.0, ,32.9,14.9,78,15,2.90,23.29
YANCO AGRICULTURAL INSTITUTE,27/10/2014,7.8,0.0, ,27.4,20.2,57,23,6.70,21.80
YANCO AGRICULTURAL INSTITUTE,28/10/2014,6.3,0.2, ,25.0,9.0,63,28,4.78,26.47
YANCO AGRICULTURAL INSTITUTE,29/10/2014,5.6,0.0, ,27.4,9.7,80,24,2.49,26.66
YANCO AGRICULTURAL INSTITUTE,30/10/2014,6.9,0.0, ,32.8,12.1,59,15,2.72,26.86
YANCO AGRICULTURAL INSTITUTE,31/10/2014,8.2,0.0, ,36.7,14.4,41,9,3.74,19.60
Totals:,,157.5,17, ,,,,,, 
