'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for YOUNG AIRPORT New South Wales for October 2012,,,,,,,,,,
Issued at 22:38 GMT on Thursday 01 November 2012,,,,,,,,,,
© Copyright Commonwealth of Australia 2012 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
YOUNG AIRPORT,01/10/2012,3.4,0.0, ,18.6,-2.3,100,35,2.37,23.36
YOUNG AIRPORT,02/10/2012,3.6,0.0, ,21.0,1.0,100,39,2.20,23.55
YOUNG AIRPORT,03/10/2012,4.0,0.0, ,23.2,1.4,100,34,2.16,23.70
YOUNG AIRPORT,04/10/2012,5.0,0.0, ,27.4,1.8,100,25,2.62,23.88
YOUNG AIRPORT,05/10/2012,4.7,0.0, ,28.2,3.1,100,30,2.12,24.04
YOUNG AIRPORT,06/10/2012,3.0,0.0, ,21.2,11.0,100,54,4.12,12.93
YOUNG AIRPORT,07/10/2012,3.7,0.6, ,16.7,3.8,100,38,4.18,24.46
YOUNG AIRPORT,08/10/2012,3.1,0.0, ,17.3,-1.7,100,38,1.89,21.41
YOUNG AIRPORT,09/10/2012,3.2,0.0, ,18.4,-1.6,100,35,1.68,21.74
YOUNG AIRPORT,10/10/2012,3.3,0.0, ,19.5,-1.1,99,34,2.07,20.01
YOUNG AIRPORT,11/10/2012,2.1,7.8, ,13.5,6.4,100,64,3.53,13.07
YOUNG AIRPORT,12/10/2012,3.8,5.6, ,17.5,5.2,99,37,4.86,21.41
YOUNG AIRPORT,13/10/2012,3.4,0.0, ,17.8,0.9,99,44,2.39,23.57
YOUNG AIRPORT,14/10/2012,3.7,0.0, ,20.3,-0.2,100,35,1.79,25.28
YOUNG AIRPORT,15/10/2012,4.4,0.0, ,25.4,0.8,100,29,1.94,24.88
YOUNG AIRPORT,16/10/2012,4.6,0.0, ,27.2,3.1,100,29,2.97,18.27
YOUNG AIRPORT,17/10/2012,4.6,0.0, ,20.3,5.8,100,27,3.39,26.23
YOUNG AIRPORT,18/10/2012,4.5,0.0, ,25.4,0.5,100,26,2.11,24.26
YOUNG AIRPORT,19/10/2012,5.6,0.0, ,31.0,9.1,96,21,2.14,26.05
YOUNG AIRPORT,20/10/2012,5.6,0.0, ,26.8,5.5,100,22,3.04,27.19
YOUNG AIRPORT,21/10/2012,4.6,0.0, ,24.8,6.7,99,26,2.55,22.76
YOUNG AIRPORT,22/10/2012,4.5,0.0, ,19.8,0.2,99,29,4.04,25.55
YOUNG AIRPORT,23/10/2012,5.0,0.0, ,22.3,5.4,97,29,3.42,27.16
YOUNG AIRPORT,24/10/2012,4.8,0.0, ,25.2,0.1,100,28,2.10,27.20
YOUNG AIRPORT,25/10/2012,6.9,0.0, ,29.6,4.2,100,20,4.21,27.51
YOUNG AIRPORT,26/10/2012,4.5,0.0, ,20.5,4.8,100,29,3.32,25.42
YOUNG AIRPORT,27/10/2012,4.5,0.0, ,21.0,0.1,99,24,2.46,27.59
YOUNG AIRPORT,28/10/2012,5.0,0.0, ,23.6,2.6,93,32,2.92,28.01
YOUNG AIRPORT,29/10/2012,4.9,0.0, ,25.8,5.5,96,32,2.25,25.85
YOUNG AIRPORT,30/10/2012,4.6,0.0, ,27.0,6.2,100,33,1.98,23.58
YOUNG AIRPORT,31/10/2012,6.0,0.0, ,31.3,5.4,100,23,2.19,28.17
Totals:,,134.6,14, ,,,,,, 
