'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for YOUNG AIRPORT New South Wales for May 2015,,,,,,,,,,
Issued at 22:30 GMT on Monday 01 June 2015,,,,,,,,,,
© Copyright Commonwealth of Australia 2015 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
YOUNG AIRPORT,01/05/2015,2.8,0.0, ,21.6,9.3,91,48,4.06,13.52
YOUNG AIRPORT,02/05/2015,2.7,0.0, ,23.5,10.4,92,51,3.45,12.44
YOUNG AIRPORT,03/05/2015,2.6,0.0, ,23.5,10.5,94,48,2.71,13.50
YOUNG AIRPORT,04/05/2015,2.1,0.0, ,23.4,6.5,97,47,1.46,14.11
YOUNG AIRPORT,05/05/2015,3.6,0.0, ,23.6,3.5,99,30,4.38,11.48
YOUNG AIRPORT,06/05/2015,1.9,0.0, ,15.7,0.5,94,44,2.58,13.16
YOUNG AIRPORT,07/05/2015,1.7,0.0, ,14.3,1.7,97,49,2.65,10.48
YOUNG AIRPORT,08/05/2015,1.6,0.0, ,15.0,-1.8,96,51,2.25,12.64
YOUNG AIRPORT,09/05/2015,1.4,0.0, ,14.6,7.7,90,56,2.27,6.46
YOUNG AIRPORT,10/05/2015,1.9,0.0, ,14.9,8.5,93,55,4.95,5.70
YOUNG AIRPORT,11/05/2015,1.3,4.0, ,15.2,9.0,95,75,3.66,7.50
YOUNG AIRPORT,12/05/2015,1.4,0.2, ,14.6,10.2,90,65,3.38,5.55
YOUNG AIRPORT,13/05/2015,1.7,0.2, ,10.7,3.6,89,53,4.44,9.69
YOUNG AIRPORT,14/05/2015,1.4,0.0, ,12.6,0.4,96,60,3.35,8.23
YOUNG AIRPORT,15/05/2015,1.7,0.0, ,17.7,-1.4,98,49,2.21,12.55
YOUNG AIRPORT,16/05/2015,1.9,0.2, ,17.9,2.3,98,48,2.92,12.50
YOUNG AIRPORT,17/05/2015,1.8,0.0, ,18.7,0.5,99,45,2.31,11.78
YOUNG AIRPORT,18/05/2015,1.8,0.0, ,20.0,1.2,96,51,2.25,12.11
YOUNG AIRPORT,19/05/2015,0.7,4.6, ,15.0,6.2,99,90,2.94,3.19
YOUNG AIRPORT,20/05/2015,1.3,9.6, ,19.6,6.9,99,70,2.05,8.69
YOUNG AIRPORT,21/05/2015,1.1,8.6, ,15.7,5.2,99,54,1.08,8.42
YOUNG AIRPORT,22/05/2015,1.6,0.2, ,16.4,4.7,97,49,2.56,10.93
YOUNG AIRPORT,23/05/2015,1.4,0.0, ,15.2,0.3,98,50,2.03,12.01
YOUNG AIRPORT,24/05/2015,1.5,0.2, ,17.0,-2.8,99,38,1.65,12.09
YOUNG AIRPORT,25/05/2015,1.3,0.0, ,16.0,-0.2,99,55,1.79,9.42
YOUNG AIRPORT,26/05/2015,1.0,0.2, ,14.3,-1.7,99,64,1.62,8.97
YOUNG AIRPORT,27/05/2015,1.2,0.0, ,16.9,1.1,99,62,1.72,9.51
YOUNG AIRPORT,28/05/2015,1.0,0.0, ,16.8,2.2,99,78,2.54,5.87
YOUNG AIRPORT,29/05/2015,1.4,11.4, ,16.8,10.0,99,62,2.64,9.71
YOUNG AIRPORT,30/05/2015,0.9,0.2, ,12.3,2.2,99,61,1.29,7.31
YOUNG AIRPORT,31/05/2015,1.1,0.0, ,13.8,0.8,99,59,1.88,8.53
Totals:,,50.8,39.6, ,,,,,, 
